TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-11-02 18:25:45.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89
2022-11-02 18:25:46.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:46.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:46.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-02 18:25:46.670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:46.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-02 18:25:46.942,0,0.8523783417648052,0,0,0,0.3366739309728701,0,0,0,0.2797425093494615,0,0,0,0.6808916140844742,0,0,0,-0.0297199865905193,0,0,1277.289377289377,791.3553113553114,569.3406593406594,780.8791208791209,758.3150183150184,0.251587,0.278381,0.948181,3.678589,-9.891815,-1.637421,1,4,1,2,2,95.000000
2022-11-02 18:25:46.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-02 18:25:47.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:47.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:47.942,0,0.6263913110074044,0,0,0,0.1746825776118704,0,0,0,0.4873705180102619,0,0,0,0.5010675658977052,0,0,0,-0.1186795200349878,0,0,962.1978021978023,808.6813186813187,589.0842490842491,737.3626373626374,755.0915750915751,0.309143,0.260071,0.979797,3.439331,-4.515991,6.467438,1,4,1,2,2,95.000000
2022-11-02 18:25:47.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:48.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-02 18:25:48.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:48.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-02 18:25:48.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
