,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 17:31:12.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,319,LHC,Female,No,Right
1,1,2022-11-02 17:31:12.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,319,LHC,Female,No,Right
2,2,2022-11-02 17:31:12.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,319,LHC,Female,No,Right
3,3,2022-11-02 17:31:13.566,0.0,1.111524481109044,0.0,1.436972687423365,0.0,0.4823151336034401,0.0,1.798010377779701,0.0,0.736521525009505,0.0,1.249994216449024,0.0,0.1071741821152431,0.0,0.758140134729044,0.0,0.0471589639510717,0.0,0.4256829975630373,1360.695970695971,776.0439560439561,659.5970695970697,881.2087912087912,765.9706959706959,0.366455,-0.008423,0.947083,2.041168,-6.026306,1.585083,1.0,4.0,1.0,2.0,2.0,100.0,,319,LHC,Female,No,Right
4,4,2022-11-02 17:31:14.565,0.0,1.021914657544037,0.0,1.436972687423365,0.0,0.1336536280195768,0.0,1.798010377779701,0.0,0.5349824367335272,0.0,1.249994216449024,0.0,0.0128474696307154,0.0,0.758140134729044,0.0,-0.2220668055411179,0.0,0.4256829975630373,1186.630036630037,775.2380952380953,546.3736263736264,850.989010989011,758.7179487179487,0.388306,-0.01532,0.949341,2.624359,-3.603821,-1.824341,1.0,2.0,1.0,2.0,2.0,100.0,,319,LHC,Female,No,Right
5,5,2022-11-02 17:31:15.562,0.0,0.7890438886547968,0.0,1.174728448622969,0.0,0.048351633053928,0.0,0.7584010302422753,0.0,0.2660390868429161,0.0,1.009798016486122,0.0,-0.0364399580781372,0.0,0.9355412110871294,0.0,-0.2536827449643493,0.0,0.4585886538177522,994.029304029304,790.952380952381,689.8168498168499,831.6483516483516,733.7362637362637,0.379456,0.000427,0.951477,2.953339,-4.889832,0.239258,1.0,1.0,1.0,2.0,1.0,100.0,,319,LHC,Female,No,Right
6,6,2022-11-02 17:31:16.561,0.0,0.2754576539368624,0.0,0.9361545814430728,0.0,-0.1389346282886842,0.0,0.6126237764099434,0.0,-0.1265369553720068,0.0,1.132510005764151,0.0,-0.1768858809664086,0.0,0.8140417308537108,0.0,-0.2711955180359972,0.0,0.4384096652491021,1045.201465201465,794.1758241758242,826.8131868131868,822.7838827838829,710.3663003663004,0.389587,-0.003967,0.946655,3.409424,-5.084229,0.02243,1.0,1.0,1.0,2.0,1.0,100.0,,319,LHC,Female,No,Right
7,7,2022-11-02 17:31:17.562,0.0,0.0730951347936198,0.0,0.8829149021225106,0.0,-0.2717052880302464,0.0,0.5209144761261385,0.0,0.0864504448065633,0.0,1.212139073708549,0.0,-0.0546691286390872,0.0,0.728728111951918,0.0,-0.1680150710073108,0.0,0.4728590775484879,785.3113553113553,796.996336996337,644.2857142857143,834.0659340659341,681.3553113553114,0.396606,0.001709,0.939758,1.936493,-4.381409,0.463562,1.0,1.0,1.0,2.0,1.0,100.0,,319,LHC,Female,No,Right
8,8,2022-11-02 17:31:18.568,0.0,0.559777108151894,0.0,1.046256936809427,0.0,-0.0272012010119,0.0,0.9726225273571169,0.0,0.352837097462007,0.0,1.176685430246884,0.0,0.0680090653033324,0.0,0.7311242598918275,0.0,-0.2868153590690167,0.0,0.363932954312408,1014.578754578755,810.2930402930403,694.6520146520147,795.3846153846154,730.1098901098901,0.402527,-0.003967,0.927551,3.663635,-5.211334,0.014954,1.0,1.0,1.0,2.0,1.0,100.0,,319,LHC,Female,No,Right
9,9,2022-11-02 17:31:19.562,0.0,0.7605429261556722,0.0,1.116269804335799,0.0,0.2052417754440952,0.0,1.074299741152814,0.0,0.4190456154163004,0.0,1.117766885204754,0.0,0.0815536048597659,0.0,0.7515565009972132,0.0,-0.3799334683325,0.0,0.3914686673578834,857.032967032967,794.981684981685,900.952380952381,824.7985347985348,740.989010989011,0.411133,-0.000244,0.926697,3.102875,-3.962708,0.628052,1.0,1.0,1.0,2.0,1.0,100.0,,319,LHC,Female,No,Right
