,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 19:24:58.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,326,LHS,Male,Yes,Right
1,1,2022-11-02 19:24:58.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,326,LHS,Male,Yes,Right
2,2,2022-11-02 19:24:58.551,0.94486135,0.0,0.0,1.228401,0.16523415,0.0,0.0,0.82986903,0.324646,0.0,0.0,0.54647934,0.5595105,0.0,0.0,0.6390429,0.12989956,0.0,0.0,0.4473839,708.7546,621.7216,860.2564,774.43225,722.0513,0.31072998046875,0.10626220703125,0.953857421875,4.2169189453125,6.243133544921875,29.54833984375,1.0,2.0,4.0,2.0,2.0,100.0,,326,LHS,Male,Yes,Right
3,3,2022-11-02 19:24:58.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,326,LHS,Male,Yes,Right
4,4,2022-11-02 19:24:59.574,0.94486135,0.0,0.0,1.228401,0.16523415,0.0,0.0,0.82986903,0.324646,0.0,0.0,0.54647934,0.5595105,0.0,0.0,0.6390429,0.12989956,0.0,0.0,0.4473839,812.3077,869.5238,921.0989,767.5824,713.1868,0.2728271484375,0.1546630859375,0.9813232421875,5.764617919921875,-5.7720947265625,0.067291259765625,1.0,2.0,2.0,2.0,2.0,100.0,,326,LHS,Male,Yes,Right
5,5,2022-11-02 19:25:00.584,1.1286486,0.0,0.0,1.228401,0.27591866,0.0,0.0,0.82986903,0.69123536,0.0,0.0,0.54647934,0.46066087,0.0,0.0,0.6390429,0.018707769,0.0,0.0,0.4473839,796.1905,195.82417,638.24176,662.4176,984.35895,0.266845703125,0.1630859375,0.96478271484375,4.822540283203125,-2.250518798828125,0.76263427734375,1.0,1.0,4.0,2.0,1.0,100.0,,326,LHS,Male,Yes,Right
6,6,2022-11-02 19:25:00.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,326,LHS,Male,Yes,Right
7,7,2022-11-02 19:25:01.597,0.6786864,0.0,0.0,1.228401,0.41026267,0.0,0.0,0.82986903,0.718296,0.0,0.0,0.54647934,0.5013954,0.0,0.0,0.6390429,0.018597756,0.0,0.0,0.4473839,803.44324,369.8901,695.05493,734.1392,783.2967,0.26666259765625,0.16363525390625,0.96160888671875,3.3197021484375,-4.306640625,0.829925537109375,1.0,1.0,4.0,2.0,1.0,100.0,,326,LHS,Male,Yes,Right
8,8,2022-11-02 19:25:02.613,0.18430068,0.0,0.0,1.228401,0.11459238,0.0,0.0,0.82986903,0.58656335,0.0,0.0,0.54647934,0.38920796,0.0,0.0,0.6390429,0.067258336,0.0,0.0,0.4473839,801.8315,523.8095,860.65936,754.2857,726.08057,0.26605224609375,0.15899658203125,0.97076416015625,3.491668701171875,-4.807586669921875,-0.37384033203125,1.0,1.0,4.0,2.0,1.0,100.0,,326,LHS,Male,Yes,Right
9,9,2022-11-02 19:25:03.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,326,LHS,Male,Yes,Right
