,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 18:09:09.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,322,RHC,Male,Yes,Left
1,1,2022-11-02 18:09:10.063,0.8862322950313939,0.0,1.43012538868457,0.6629000988326463,0.7125980491906866,0.0,-0.6019399388943957,0.5785925380271526,1.417922342616921,0.0,-0.3995697184295579,1.376255270861731,1.341912880985401,0.0,-0.1495516088009965,1.213477080896506,1.023543687348448,0.0,-0.4252178957737359,0.6690274496812778,811.9047619047619,56.81318681318682,850.5860805860806,802.2344322344322,778.0586080586081,0.694519,-0.041382,0.744202,0.471039,-3.618774,-3.04306,1.0,1.0,4.0,1.0,1.0,100.0,,322,RHC,Male,Yes,Left
2,2,2022-11-02 18:09:11.066,1.17286609977847,0.0,1.43012538868457,0.7694378442106339,0.7915750656653332,0.0,-0.6019399388943957,0.6056325221715931,1.323350572116014,0.0,-0.3995697184295579,1.013146470180944,1.316337406830657,0.0,-0.1495516088009965,1.04446755677712,0.9427124290425444,0.0,-0.4252178957737359,0.5822336516798781,842.1245421245421,0.0,552.8205128205128,813.919413919414,900.952380952381,0.699585,-0.076721,0.724121,2.15332,-4.650574,-0.53833,1.0,1.0,4.0,1.0,1.0,100.0,,322,RHC,Male,Yes,Left
3,3,2022-11-02 18:09:12.063,1.17286609977847,0.0,1.43012538868457,0.9231903818745936,0.7915750656653332,0.0,-0.6019399388943957,0.4206721243331605,1.323350572116014,0.0,-0.3995697184295579,0.8670580504710133,1.316337406830657,0.0,-0.1495516088009965,0.9846209005811544,0.9427124290425444,0.0,-0.4252178957737359,0.7722246661797596,821.5750915750916,1034.322344322344,851.3919413919414,828.8278388278388,713.992673992674,0.710327,-0.058044,0.71814,3.050537,-4.411316,-0.5159,1.0,1.0,4.0,1.0,1.0,100.0,,322,RHC,Male,Yes,Left
4,4,2022-11-02 18:09:13.065,1.115244344399817,0.0,1.43012538868457,0.9101160164375224,0.5134813030695434,0.0,-0.6019399388943957,0.4481852148556044,1.17696743047191,0.0,-0.3995697184295579,1.628774811325467,1.183962857339149,0.0,-0.1495516088009965,1.258540055813923,0.7555395650837886,0.0,-0.4252178957737359,0.6360768340196279,834.4688644688645,702.3076923076924,954.1391941391942,795.3846153846154,672.4908424908425,0.621643,-0.099121,0.700867,3.596344,-0.859833,5.884247,1.0,1.0,4.0,2.0,1.0,95.0,,322,RHC,Male,Yes,Left
5,5,2022-11-02 18:09:14.063,1.282639439970787,0.0,1.43012538868457,0.7249747155952809,0.2685484809205102,0.0,-0.6019399388943957,0.7033266249476714,1.155640847585756,0.0,-0.3995697184295579,1.697653590083396,1.291192834454742,0.0,-0.1495516088009965,1.300884732039124,0.8136590748988675,0.0,-0.4252178957737359,0.7181956216889516,811.5018315018315,229.2673992673993,560.0732600732601,778.8644688644689,875.1648351648352,0.74115,-0.096252,0.679321,3.678589,-4.000092,1.876678,1.0,1.0,4.0,2.0,1.0,95.0,,322,RHC,Male,Yes,Left
6,6,2022-11-02 18:09:15.063,1.282639439970787,0.0,1.43012538868457,0.9609230481676196,0.2685484809205102,0.0,-0.6019399388943957,0.984032528143472,1.155640847585756,0.0,-0.3995697184295579,1.542919121324857,1.291192834454742,0.0,-0.1495516088009965,1.188957641915636,0.8136590748988675,0.0,-0.4252178957737359,0.5482135707755532,810.6959706959707,805.054945054945,724.4688644688645,791.7582417582418,651.1355311355312,0.747131,-0.083191,0.683228,2.4823,-4.747772,-1.360779,1.0,1.0,4.0,2.0,1.0,95.0,,322,RHC,Male,Yes,Left
7,7,2022-11-02 18:09:16.069,0.7935898178090773,0.0,1.43012538868457,0.2790415011769434,0.1066796801111834,0.0,-0.6019399388943957,-0.1047975967853277,0.9552510735396318,0.0,-0.3995697184295579,1.339781995139389,1.0789585644402,0.0,-0.1495516088009965,1.099172850638712,0.6691559671399957,0.0,-0.4252178957737359,0.7953159659377298,765.1648351648352,926.7399267399268,718.4249084249085,782.893772893773,624.945054945055,0.763489,-0.07782,0.679749,3.02063,-5.196381,-1.166382,1.0,1.0,4.0,2.0,1.0,95.0,,322,RHC,Male,Yes,Left
8,8,2022-11-02 18:09:16.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,RHC,Male,Yes,Left
9,9,2022-11-02 18:09:17.069,0.7192433914465897,0.0,1.43012538868457,0.3972188657882752,0.3143936712197987,0.0,-0.6019399388943957,0.3106772185632943,1.225602670599937,0.0,-0.3995697184295579,1.431747090165231,1.095636264181461,0.0,-0.1495516088009965,1.264257618755477,0.8192826319582104,0.0,-0.4252178957737359,0.8456850861514774,821.1721611721612,383.1868131868132,546.7765567765568,780.0732600732601,808.2783882783883,0.745667,-0.093567,0.683411,2.474823,-4.11972,-0.388794,1.0,1.0,4.0,2.0,1.0,95.0,,322,RHC,Male,Yes,Left
