,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 19:23:29.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,326,RHS,Male,Yes,Right
1,1,2022-11-02 19:23:29.951,0.74725085,0.0,0.0,1.5173798,0.41453856,0.0,0.0,1.0084901,0.5697194,0.0,0.0,1.0331185,0.5479183,0.0,0.0,0.68361884,0.06970946,0.0,0.0,0.41295347,810.293,387.61905,634.61536,627.76556,740.18317,0.2412109375,0.09039306640625,0.98992919921875,-6.213226318359375,-7.596435546875,-0.2392578125,1.0,1.0,4.0,2.0,1.0,100.0,,326,RHS,Male,Yes,Right
2,2,2022-11-02 19:23:30.978,0.74725085,0.0,0.0,1.5173798,0.41453856,0.0,0.0,1.0084901,0.5697194,0.0,0.0,1.0331185,0.5479183,0.0,0.0,0.68361884,0.06970946,0.0,0.0,0.41295347,827.2161,684.9817,923.91943,691.8315,710.7692,0.30419921875,-0.04449462890625,0.97015380859375,10.295562744140623,-3.54400634765625,7.678680419921875,1.0,1.0,4.0,2.0,1.0,100.0,,326,RHS,Male,Yes,Right
3,3,2022-11-02 19:23:31.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,326,RHS,Male,Yes,Right
4,4,2022-11-02 19:23:32.023,0.74725085,0.0,0.0,1.5173798,0.41453856,0.0,0.0,1.0084901,0.5697194,0.0,0.0,1.0331185,0.5479183,0.0,0.0,0.68361884,0.06970946,0.0,0.0,0.41295347,817.1429,383.1868,740.989,499.6337,1034.3224,0.30499267578125,-0.0054931640625,0.9727783203125,2.64678955078125,-6.041259765625,-1.42059326171875,1.0,2.0,4.0,2.0,2.0,100.0,,326,RHS,Male,Yes,Right
5,5,2022-11-02 19:23:32.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,326,RHS,Male,Yes,Right
6,6,2022-11-02 19:23:33.038,0.74725085,0.0,0.0,1.5173798,0.41453856,0.0,0.0,1.0084901,0.5697194,0.0,0.0,1.0331185,0.5479183,0.0,0.0,0.68361884,0.06970946,0.0,0.0,0.41295347,823.5897,637.4359,849.7802,718.4249,736.1539,0.29962158203125,0.0181884765625,0.9805908203125,8.486175537109375,-3.409423828125,7.080535888671875,1.0,2.0,4.0,2.0,2.0,100.0,,326,RHS,Male,Yes,Right
7,7,2022-11-02 19:23:33.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,326,RHS,Male,Yes,Right
8,8,2022-11-02 19:23:33.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,326,RHS,Male,Yes,Right
9,9,2022-11-02 19:23:34.052,0.74725085,0.0,0.0,1.5173798,0.41453856,0.0,0.0,1.0084901,0.5697194,0.0,0.0,1.0331185,0.5479183,0.0,0.0,0.68361884,0.06970946,0.0,0.0,0.41295347,820.7692,815.9341,889.67035,757.1062,803.44324,0.2738037109375,0.05767822265625,0.9744873046875,3.760833740234375,-3.39447021484375,0.396270751953125,1.0,2.0,4.0,2.0,2.0,100.0,,326,RHS,Male,Yes,Right
