TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-11-02 17:29:54.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89
2022-11-02 17:29:54.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:54.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:54.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:55.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:55.245,0,0.7546911211480619,0,0,0,0.0294246338476092,0,0,0,-0.5227445563640061,0,0,0,0.06002355155478743,0,0,0,-0.08142119698689809,0,0,0,776.4468864468864,383.1868131868132,1454.578754578755,1045.604395604396,0.161133,-0.083740,1.019409,1.779480,-8.306732,-9.203949,1,4,1,2,4,100.000000
2022-11-02 17:29:55.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:56.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:56.243,0,0.6526147752037684,0,0,0,0.4265903073067272,0,0,0,0.5768935254664338,0,0,0,0.2760812188950472,0,0,0,-0.1142825301220032,0,0,1621.391941391941,776.4468864468864,767.1794871794872,830.4395604395604,550.8058608058608,0.198975,-0.123535,0.991943,2.280426,-9.473114,2.527161,1,4,1,2,4,100.000000
2022-11-02 17:29:56.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:56.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-02 17:29:57.243,0,0.1162139311162939,0,0,0,0.2401275919704611,0,0,0,0.1299645567368216,0,0,0,0.08671222183732925,0,0,0,-0.1740579400807814,0,0,0,772.8205128205128,508.4981684981685,1048.021978021978,773.6263736263736,0.247498,-0.101501,0.990112,1.502838,-5.480499,-2.033691,1,4,1,2,4,100.000000
2022-11-02 17:29:57.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:57.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:58.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:58.244,0,0.4192401459368902,0,0,0,0.1668260904044244,0,0,0,0.4361768980381792,0,0,0,0.197357970656148,0,0,0,-0.3193572950126227,0,0,1412.271062271062,775.6410256410256,608.4249084249085,713.992673992674,660,0.249329,-0.105164,0.974731,1.061707,-4.904785,0.964508,1,4,1,1,2,100.000000
2022-11-02 17:29:58.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:58.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:59.243,0,0.5918811016336801,0,0,0,0.7062471931832722,0,0,0,0.9026004498246897,0,0,0,0.287023392132593,0,0,0,-0.1349202903994829,0,0,699.4871794871796,783.6996336996338,682.5641025641025,482.3076923076923,642.2710622710623,0.242493,-0.123535,0.974121,1.966400,-3.065491,-0.044861,1,4,1,2,2,100.000000
2022-11-02 17:29:59.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:59.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:29:59.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:00.243,0,0.8711702014520997,0,0,0,1.123878581540441,0,0,0,1.046764331448033,0,0,0,0.557481219601912,0,0,0,0.211208994176831,0,0,759.92673992674,769.1941391941392,479.4871794871795,792.967032967033,882.8205128205128,0.220825,-0.119080,0.983948,2.661743,-3.319702,-0.710297,1,4,1,2,4,100.000000
2022-11-02 17:30:00.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:00.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:00.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:01.243,0,0.2558205393465277,0,0,0,-0.3193361834346553,0,0,0,0.1955671619427097,0,0,0,0.1642303997854649,0,0,0,-0.2437241146598371,0,0,0,782.893772893773,500.8424908424909,145.8608058608059,265.1282051282051,0.230591,-0.120239,0.982666,4.127197,-3.596344,0.306549,1,4,1,2,2,100.000000
2022-11-02 17:30:01.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:02.243,0,0.08084289638589054,0,0,0,-0.368848651016667,0,0,0,0.193968326986497,0,0,0,0.1348355424565555,0,0,0,-0.2655810346454929,0,0,1442.490842490843,777.2527472527473,582.2344322344322,836.4835164835165,856.6300366300367,0.224060,-0.112305,0.991455,5.076752,-6.228180,0.044861,1,4,1,2,4,100.000000
2022-11-02 17:30:02.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:02.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:02.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:03.246,0,0.5372479255221082,0,0,0,-0.001983709173322486,0,0,0,0.2387794488218554,0,0,0,0.1626446392055964,0,0,0,-0.1577070833838776,0,0,1621.794871794872,773.6263736263736,616.4835164835165,922.3076923076924,844.5421245421246,0.228271,-0.122375,1.001709,2.796326,-4.583282,-2.272949,1,4,1,2,4,100.000000
2022-11-02 17:30:03.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:04.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:04.242,0,0.6798533230488567,0,0,0,0.03200179679426004,0,0,0,0.167492611890885,0,0,0,0.0457643514457264,0,0,0,-0.210678252470095,0,0,276.8131868131868,782.893772893773,572.1611721611722,729.3040293040293,716.007326007326,0.205200,-0.137329,0.986389,1.345825,-4.747772,-1.338348,1,4,1,1,2,100.000000
2022-11-02 17:30:04.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:05.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:05.243,0,0.5317161859860703,0,0,0,0.2169076472256503,0,0,0,0.5739953957130564,0,0,0,0.1373978540464899,0,0,0,-0.2303397371471789,0,0,746.6300366300367,780.8791208791209,744.2124542124542,897.3260073260074,733.3333333333334,0.231018,-0.136414,0.987061,4.142151,-4.620667,1.054230,1,4,1,1,2,100.000000
2022-11-02 17:30:05.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:05.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:05.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:06.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:06.243,0,0.7110200409144791,0,0,0,0.9297066723450619,0,0,0,0.7613161489135081,0,0,0,0.3344082098239189,0,0,0,-0.02934312445080407,0,0,1615.347985347985,782.0879120879121,356.996336996337,733.7362637362637,958.1684981684982,0.213318,-0.124207,0.984924,2.729034,-4.538422,0.306549,1,4,1,1,2,100.000000
2022-11-02 17:30:06.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:06.540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:06.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:07.247,0,0.3729224548301203,0,0,0,-0.1614275398543862,0,0,0,0.2415523946070561,0,0,0,0.01654797813081735,0,0,0,-0.06476028855142259,0,0,1020.622710622711,803.040293040293,600.3663003663004,656.7765567765568,645.0915750915751,0.199097,-0.120605,0.985352,4.172058,-4.067383,-0.441132,1,4,1,1,2,100.000000
2022-11-02 17:30:07.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:08.248,0,0.9435454855964024,0,0,0,0.5070788401851579,0,0,0,0.2591391248862625,0,0,0,0.004343541475841075,0,0,0,-0.2515959114135202,0,0,1621.794871794872,829.2307692307693,777.2527472527473,957.3626373626374,805.8608058608058,0.200989,-0.125977,0.978149,4.044952,-6.639404,0.852356,1,4,1,1,2,100.000000
2022-11-02 17:30:08.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:08.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:09.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:09.243,0,1.088084061878214,0,0,0,0.6807589791727287,0,0,0,0.2076772840101888,0,0,0,0.03702132873302807,0,0,0,-0.2624318801157118,0,0,1641.941391941392,790.5494505494506,574.1758241758242,839.3040293040293,860.2564102564103,0.198486,-0.128601,0.975525,3.648682,-4.471130,2.265472,1,4,1,1,2,100.000000
2022-11-02 17:30:09.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:09.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 17:30:10.242,0,0.4995077903913703,0,0,0,0.2136697803221075,0,0,0,0.1290314115929096,0,0,0,0.3055866070265889,0,0,0,-0.257788157149718,0,0,966.2271062271062,796.1904761904763,704.3223443223443,902.5641025641025,677.7289377289377,0.196960,-0.118774,0.991577,2.347717,-3.962708,-0.508423,1,4,1,1,2,100.000000
