TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
02:35.5,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,11.858.242,44.362.637,8.667.033,8.078.755,12.208.792,0.309509277,0.101745605,0.960083008,2.579.498.291.015.620,-3.895.416.259.765.620,-0.800018311,1,4,4,1,2,60,,205,LHS,Male,No,Left
02:36.5,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,16.177.656,0,9.863.736,7.107.692,7.921.612,0.291320801,0.147216797,0.959228516,402.252.197.265.625,-414.215.087.890.625,0.336456299,1,4,2,1,2,60,,205,LHS,Male,No,Left
02:37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,LHS,Male,No,Left
02:37.5,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,1.621.392,16.217.949,7.204.396,7.724.176,7.035.165,0.298278809,0.163818359,0.984375,8.074.951.171.875,-26.617.431.640.625,-251.220.703.125,1,4,4,1,2,60,,205,LHS,Male,No,Left
02:37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:38.5,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,0,0,7.329.304,8.058.608,9.013.553,0.317993164,0.249572754,0.943054199,5.330.963.134.765.620,-3.401.947.021.484.370,-0.426177979,1,4,4,1,2,60,,205,LHS,Male,No,Left
02:38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,LHS,Male,No,Left
02:39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:39.5,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,0,0,10.173.993,822.381,9.400.366,0.305847168,0.29095459,0.929931641,18.841.552.734.375,-104.974.365.234.375,0.97946167,1,4,4,1,2,60,,205,LHS,Male,No,Left
02:39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,LHS,Male,No,Left
02:40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:40.5,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,16.221.978,16.217.949,16.217.949,74.139.197,70.391.943,0.344421387,0.327941895,0.917175293,9.054.412.841.796.870,-12.613.372.802.734.300,0.104675293,1,4,4,1,2,60,,205,LHS,Male,No,Left
02:40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,LHS,Male,No,Left
02:41.6,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,15.246.886,0,77.322.345,11.648.718,7.212.454,0.330810547,0.256713867,0.934509277,3.401.947.021.484.370,-3.985.137.939.453.120,-0.321502686,1,4,4,2,2,60,,205,LHS,Male,No,Left
02:41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,LHS,Male,No,Left
02:42.6,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,1.621.392,32.637.363,84.373.627,14.630.403,76.435.895,0.341491699,0.238342285,0.928344727,15.850.830.078.125,-1.398.162.841.796.870,1.652.374.267.578.120,1,4,2,1,4,60,,205,LHS,Male,No,Left
02:43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:43.6,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,1.621.392,54.435.895,9.114.286,10.858.975,76.274.725,0.358276367,0.24621582,0.918518066,234.771.728.515.625,-3.357.086.181.640.620,1.428.070.068.359.370,1,4,1,1,4,60,,205,LHS,Male,No,Left
02:43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,LHS,Male,No,Left
02:44.6,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,62.010.986,16.221.978,839.707,9.178.755,8.578.388,0.336730957,0.16809082,0.932189941,0.493469238,-441.131.591.796.875,3.349.609.375,1,4,1,1,4,60,,205,LHS,Male,No,Left
02:44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,LHS,Male,No,Left
02:45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
02:45.6,1.206.215,0.5025534,0.6352926,10.000.664,0.7754697,0.20778348,0.24105719,0.69941753,0.994616,10.329.918,-0.012993963,0.19751914,0.9681854,10.111.369,0.39488184,10.010.858,0.26812267,0.92857397,-0.34109202,0.7412499,55.604.395,16.217.949,86.227.106,9.255.311,68.054.944,0.372192383,0.197387695,0.928039551,36.187.744.140.625,-243.743.896.484.375,-2.788.848.876.953.120,1,4,1,1,2,80,,205,LHS,Male,No,Left
02:46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHS,Male,No,Left
