TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
36:41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,123,LHC,Female,Yes,Right
36:41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,123,LHC,Female,Yes,Right
36:41.8,0,0,0.4416438,0,0,0,0.35513064,0,0,0,0.054435793,0,0,0,0.050981354,0,0,0,-0.26893213,0,487.14285,15.714286,747.8388,1327.2528,697.47253,0.104125977,0.080200195,1.039794922,-6.736602783,-13.48815918,-1.600036621,1,4,4,1,4,65,,123,LHC,Female,Yes,Right
36:41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,123,LHC,Female,Yes,Right
36:42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:42.8,0,0,0.4416438,0,0,0,0.35513064,0,0,0,0.054435793,0,0,0,0.050981354,0,0,0,-0.26893213,0,977.50916,834.4689,779.67035,740.18317,689.41394,0.018249512,0.023254395,1.017700195,4.321594238,-5.502929688,1.472930908,1,2,4,1,4,65,,123,LHC,Female,Yes,Right
36:43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,123,LHC,Female,Yes,Right
36:43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:43.8,0,0,0.57443017,0,0,0,0.48625046,0,0,0,0.43984812,0,0,0,0.1698352,0,0,0,-0.3968203,0,750.65936,877.5824,786.52014,610.0366,761.9414,0.145996094,0.015197754,1.003417969,2.272949219,-7.431945801,1.06918335,1,2,4,1,4,65,,123,LHC,Female,Yes,Right
36:43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,123,LHC,Female,Yes,Right
36:44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,123,LHC,Female,Yes,Right
36:44.8,0,0,0.44701818,0,0,0,0.26381016,0,0,0,0.37441918,0,0,0,0.104943044,0,0,0,-0.32621083,0,828.8278,1016.1905,790.14655,938.4249,716.4103,0.163574219,0.022644043,0.99798584,3.581390381,-4.142150879,-3.020629883,1,2,4,1,2,65,,123,LHC,Female,Yes,Right
36:45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,123,LHC,Female,Yes,Right
36:45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:45.8,0,0,0.15814595,0,0,0,-0.053688955,0,0,0,0.29327545,0,0,0,-0.015822634,0,0,0,-0.3430606,0,807.47253,375.53113,794.57874,838.0952,956.1539,0.20111084,-0.014343262,0.995483398,1.772003174,-4.059906006,-1.158905029,1,2,4,1,2,65,,123,LHC,Female,Yes,Right
36:46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:46.8,0,0,0.45464543,0,0,0,0.29816875,0,0,0,0.351774,0,0,0,0.00864827,0,0,0,-0.35099232,0,877.5824,816.7399,791.75824,818.3516,702.3077,0.209899902,-9.77E-04,0.99407959,2.96081543,-5.510406494,-1.540222168,1,2,4,1,2,65,,123,LHC,Female,Yes,Right
36:47.8,0,0,0.057126682,0,0,0,0.17661934,0,0,0,0.15880609,0,0,0,-0.014701603,0,0,0,-0.41522858,0,926.337,744.61536,782.8938,774.83514,797.8022,0.214111328,-0.010009766,0.99407959,2.549591064,-5.054321289,-0.964508057,1,2,4,1,2,65,,123,LHC,Female,Yes,Right
36:48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
36:48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,123,LHC,Female,Yes,Right
36:48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,LHC,Female,Yes,Right
