TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
36:06.3,0.9702854,0.9729988,0.8024081,1.3025703,0.8119521,0.5494597,0.57481855,1.1949533,0.8412481,0.60229504,0.31978264,1.1506406,0.8782385,0.2963093,0.23144202,1.1250834,0.4061066,-0.010278526,0.2029265,0.55198973,774.83514,630.58606,678.1319,802.6374,703.5165,0.17956543,0.06854248,0.993225098,1.906585693,-5.121612549,-0.246734619,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:07.3,0.8853008,0.9729988,0.8024081,1.3025703,0.6477259,0.5494597,0.57481855,1.1949533,0.8517777,0.60229504,0.31978264,1.1506406,0.9317311,0.2963093,0.23144202,1.1250834,0.6450132,-0.010278526,0.2029265,0.55198973,786.1172,321.9414,582.23444,718.022,740.989,0.181213379,0.132141113,0.985900879,0.575714111,-7.499237061,-3.96270752,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:08.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,LHS,Male,Yes,Right
36:08.3,0.98802274,0.9729988,0.8024081,1.3025703,0.7144374,0.5494597,0.57481855,1.1949533,0.917224,0.60229504,0.31978264,1.1506406,1.1225184,0.2963093,0.23144202,1.1250834,0.71139014,-0.010278526,0.2029265,0.55198973,882.4176,1178.9744,1005.7143,923.1135,956.1539,0.187744141,0.149841309,0.994384766,4.201965332,-1.95892334,0.358886719,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:08.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,LHS,Male,Yes,Right
36:08.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,LHS,Male,Yes,Right
36:09.3,1.066571,0.9729988,0.8024081,1.3025703,0.74683636,0.5494597,0.57481855,1.1949533,0.9155708,0.60229504,0.31978264,1.1506406,1.2797697,0.2963093,0.23144202,1.1250834,0.76300776,-0.010278526,0.2029265,0.55198973,829.6337,1046.4103,1370.7693,850.58606,753.0769,0.209594727,0.147888184,0.982421875,5.60760498,-8.104858398,2.654266357,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:10.3,1.066571,0.9729988,0.8024081,1.3025703,0.74683636,0.5494597,0.57481855,1.1949533,0.9155708,0.60229504,0.31978264,1.1506406,1.2797697,0.2963093,0.23144202,1.1250834,0.76300776,-0.010278526,0.2029265,0.55198973,830.4396,906.1905,936.8132,776.4469,763.95605,0.223876953,0.147033691,0.975341797,3.372039795,-3.663635254,-0.590667725,1,2,4,2,2,100,,120,LHS,Male,Yes,Right
36:11.3,1.6155282,0.9729988,0.8024081,1.3025703,1.3428108,0.5494597,0.57481855,1.1949533,1.1741623,0.60229504,0.31978264,1.1506406,0.81548136,0.2963093,0.23144202,1.1250834,0.66965294,-0.010278526,0.2029265,0.55198973,777.25275,817.1429,878.7912,742.1978,640.2564,0.208862305,0.16583252,0.984375,1.330871582,-3.76083374,-0.97946167,1,2,4,2,2,100,,120,LHS,Male,Yes,Right
36:12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,LHS,Male,Yes,Right
36:12.4,1.4982656,0.9729988,0.8024081,1.3025703,1.2700766,0.5494597,0.57481855,1.1949533,1.2310371,0.60229504,0.31978264,1.1506406,0.91278416,0.2963093,0.23144202,1.1250834,0.7294435,-0.010278526,0.2029265,0.55198973,823.9927,1041.5751,1019.41394,788.1319,532.27106,0.076843262,0.23614502,0.988891602,2.519683838,-2.213134766,2.631835938,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,LHS,Male,Yes,Right
36:13.4,1.3371314,0.9729988,0.8024081,1.3025703,1.1826614,0.5494597,0.57481855,1.1949533,1.0006514,0.60229504,0.31978264,1.1506406,0.9922271,0.2963093,0.23144202,1.1250834,0.7819898,-0.010278526,0.2029265,0.55198973,758.315,600.7692,652.3443,824.7985,875.56775,0.121337891,0.19934082,0.992797852,3.603820801,-5.256195068,0.628051758,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:14.4,0.8058249,0.9729988,0.8024081,1.3025703,0.6400595,0.5494597,0.57481855,1.1949533,0.84572595,0.60229504,0.31978264,1.1506406,1.0987161,0.2963093,0.23144202,1.1250834,0.89041585,-0.010278526,0.2029265,0.55198973,805.8608,948.9011,885.64105,819.15753,750.65936,0.130432129,0.166625977,0.992126465,1.308441162,-6.258087158,-1.443023682,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:15.5,0.90895945,0.9729988,0.8024081,0.80154955,0.49310696,0.5494597,0.57481855,0.39089537,0.9827082,0.60229504,0.31978264,0.74352705,1.0247536,0.2963093,0.23144202,0.5991032,0.7254506,-0.010278526,0.2029265,0.8202283,815.5311,1102.0146,1071.7949,780.87915,709.9634,0.15435791,0.178344727,0.994750977,2.721557617,-3.7159729,1.420593262,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:16.5,0.74587834,0.9729988,0.8024081,0.70173174,0.48008728,0.5494597,0.57481855,0.23178829,1.0384806,0.60229504,0.31978264,0.7867962,0.7155662,0.2963093,0.23144202,0.7904166,0.53063685,-0.010278526,0.2029265,0.7557104,835.6777,1034.3224,988.3883,814.3223,665.64105,0.164978027,0.169006348,0.992553711,2.818756104,-4.889831543,-0.157012939,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:17.5,0.61400646,0.9729988,0.8024081,0.51920563,0.52234226,0.5494597,0.57481855,0.3107494,1.0074476,0.60229504,0.31978264,0.835714,0.7348035,0.2963093,0.23144202,0.6794285,0.55070025,-0.010278526,0.2029265,0.74475336,828.022,830.4396,928.3516,799.81683,751.06226,0.17401123,0.186828613,0.990356445,2.594451904,-4.284210205,-0.590667725,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:18.5,0.71258044,0.9729988,0.8024081,0.49953234,0.2894589,0.5494597,0.57481855,0.2874115,0.4736618,0.60229504,0.31978264,0.6102162,0.74174327,0.2963093,0.23144202,0.88995135,0.54292184,-0.010278526,0.2029265,0.7302905,826.4103,561.685,699.0842,805.8608,693.0403,0.177734375,0.179199219,0.989440918,3.910369873,-4.65057373,2.467346191,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:19.5,0.76675874,0.9729988,0.8024081,0.6008887,0.41365322,0.5494597,0.57481855,0.30967224,1.0820091,0.60229504,0.31978264,0.8311157,0.9955142,0.2963093,0.23144202,0.9979099,0.5213042,-0.010278526,0.2029265,0.7313373,793.7729,943.2601,1013.7729,801.02563,706.7399,0.155822754,0.183410645,0.982421875,2.444915771,-3.603820801,-2.75894165,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
36:20.5,0.6917492,0.9729988,0.8024081,0.6581763,0.43216002,0.5494597,0.57481855,0.3946166,1.0875629,0.60229504,0.31978264,0.7835694,1.0128363,0.2963093,0.23144202,0.95181304,0.60354424,-0.010278526,0.2029265,0.7968187,775.2381,636.63007,750.2564,798.20514,767.98535,0.176574707,0.171264648,0.979125977,3.229980469,-4.029998779,2.302856445,1,1,4,4,1,100,,120,LHS,Male,Yes,Right
