,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 17:32:27.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,319,LHS,Female,No,Right
1,1,2022-11-02 17:32:27.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,319,LHS,Female,No,Right
2,2,2022-11-02 17:32:27.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,319,LHS,Female,No,Right
3,3,2022-11-02 17:32:28.427,0.0,0.6607088558496159,0.0,0.6776291875508786,0.0,0.202463911061222,0.0,0.5256690792277896,0.0,-0.2209831829980492,0.0,0.6162216654530586,0.0,-0.2387091464703221,0.0,0.5300353193919689,0.0,-0.2790584810236064,0.0,0.3360183239779252,786.5201465201466,763.5531135531136,836.0805860805862,772.014652014652,751.0622710622711,0.484009,-0.00769,0.899231,2.534637,-5.413208,-0.986938,1.0,2.0,1.0,2.0,2.0,100.0,,319,LHS,Female,No,Right
4,4,2022-11-02 17:32:28.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,319,LHS,Female,No,Right
5,5,2022-11-02 17:32:29.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,319,LHS,Female,No,Right
6,6,2022-11-02 17:32:29.422,0.0,0.6607088558496159,0.0,1.024209870152116,0.0,0.202463911061222,0.0,0.8073740474822736,0.0,-0.2209831829980492,0.0,0.9713125408655248,0.0,-0.2387091464703221,0.0,0.7142303660380211,0.0,-0.2790584810236064,0.0,0.5900314407327145,677.3260073260074,799.4139194139194,668.4615384615385,756.3003663003664,702.7106227106227,0.469788,0.0224,0.893738,4.344025,-5.981445,5.734711,1.0,2.0,1.0,2.0,1.0,100.0,,319,LHS,Female,No,Right
7,7,2022-11-02 17:32:29.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,319,LHS,Female,No,Right
8,8,2022-11-02 17:32:30.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,319,LHS,Female,No,Right
9,9,2022-11-02 17:32:30.427,0.0,0.5368590807878941,0.0,1.195051367258052,0.0,0.2055766656809355,0.0,1.105810055169515,0.0,0.1595895580962361,0.0,1.012804543540274,0.0,0.1325294488523741,0.0,0.796393606550564,0.0,-0.1756629773176371,0.0,0.5500709798671998,738.5714285714286,724.4688644688645,743.0036630036631,761.941391941392,981.1355311355312,0.475769,0.039307,0.888245,6.317902,-4.9646,3.409424,1.0,2.0,1.0,2.0,1.0,100.0,,319,LHS,Female,No,Right
