TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Pariticipant,Test,Gender,English,Dominance
34:52.3,0,0,0,-3.4638805,0,0,0,-3.724071,0,0,0,-2.976434,0,0,0,-2.941462,0,0,0,-3.0172744,903.7729,656.3736,1090.7325,1621.7949,637.4359,0.112792969,0.001525879,0.996948242,2.953338623,-7.073059082,-16.85272217,1,4,1,2,4,75,,105,RHC,Female,Yes,Right
34:53.3,0,0,0,-3.8971922,0,0,0,-3.678963,0,0,0,-2.9614491,0,0,0,-3.1099482,0,0,0,-3.0713243,1019.41394,533.8828,855.0183,1621.7949,781.685,0.225219727,-0.059082031,0.988220215,-3.304748535,-8.70300293,-7.910461426,1,2,1,2,4,75,,105,RHC,Female,Yes,Right
34:54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,105,RHC,Female,Yes,Right
34:54.3,0,0,0,-4.044218,0,0,0,-3.5993662,0,0,0,-3.1366472,0,0,0,-3.2215288,0,0,0,-2.9648008,960.989,1621.7949,1097.9854,1621.7949,817.9487,0.243469238,-0.14453125,0.960327148,4.934692383,-5.301055908,-1.996307373,1,1,1,1,4,75,,105,RHC,Female,Yes,Right
34:55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:55.3,0,0,0,-3.9270797,0,0,0,-3.5520709,0,0,0,-3.1671848,0,0,0,-3.168626,0,0,0,-2.9150863,1004.5055,1368.3517,788.1319,1621.7949,760.7326,0.255310059,-0.151428223,0.970275879,2.557067871,-3.611297607,2.654266357,1,1,1,1,2,75,,105,RHC,Female,Yes,Right
34:55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:56.4,0,0,0,-3.9270797,0,0,0,-3.5520709,0,0,0,-3.1671848,0,0,0,-3.168626,0,0,0,-2.9150863,999.67035,1087.5092,923.5165,1621.7949,782.49084,0.233032227,-0.160339355,0.973754883,4.972076416,-3.416900635,1.286010742,1,2,1,4,4,75,,105,RHC,Female,Yes,Right
34:56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:57.4,0,0,0,-3.9270797,0,0,0,-3.5520709,0,0,0,-3.1671848,0,0,0,-3.168626,0,0,0,-2.9150863,943.2601,1031.0989,603.9927,0,755.89746,0.209899902,-0.16809082,0.976074219,2.564544678,-4.321594238,-0.04486084,1,2,1,4,4,75,,105,RHC,Female,Yes,Right
34:57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:58.4,1.6968344,0,0,-3.9270797,1.859055,0,0,-3.5520709,1.165838,0,0,-3.1671848,0.93683606,0,0,-3.168626,0.3774002,0,0,-2.9150863,918.68134,779.67035,512.52747,1135.0549,817.5458,0.218200684,-0.157714844,0.982788086,3.865509033,-4.523468018,2.75894165,1,1,2,4,4,75,,105,RHC,Female,Yes,Right
34:58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:59.4,1.5316087,0,0,-3.9270797,1.8009205,0,0,-3.5520709,1.2132202,0,0,-3.1671848,0.8429689,0,0,-3.168626,0.39319092,0,0,-2.9150863,783.69965,870.7326,603.1868,0,684.9817,0.217102051,-0.144714355,0.988525391,2.856140137,-3.558959961,-0.179443359,1,1,2,4,4,75,,105,RHC,Female,Yes,Right
34:59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
34:59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,105,RHC,Female,Yes,Right
