TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
12:25.8,0,0.4833427,0.97018164,0,0,0.055400927,0.55875474,0,0,0.45112184,0.35169756,0,0,0.9425683,0.24693581,0,0,0.6150277,-0.5921995,0,10.641.392,7.607.326,68.336.993,0,6.994.872,-0.015869141,-0.027404785,10.211.181.640.625,3.028.106.689.453.120,-8.022.613.525.390.620,315.521.240.234.375,1,4,1,1,4,85,,204,RHC,Female,Yes,Right
12:25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,204,RHC,Female,Yes,Right
12:26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,204,RHC,Female,Yes,Right
12:26.8,0,0.4833427,0.97018164,0,0,0.055400927,0.55875474,0,0,0.45112184,0.35169756,0,0,0.9425683,0.24693581,0,0,0.6150277,-0.5921995,0,13.937.362,7.462.271,5.975.458,16.221.978,67.934.064,-0.026306152,-0.044433594,10.242.919.921.875,2.803.802.490.234.370,-1.697.235.107.421.870,0.186920166,1,4,1,1,4,85,,204,RHC,Female,Yes,Right
12:27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,204,RHC,Female,Yes,Right
12:27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:27.8,0,11.005.373,0.97018164,0,0,0.16856672,0.55875474,0,0,0.23972061,0.35169756,0,0,0.025511878,0.24693581,0,0,-0.3040113,-0.5921995,0,18.534.798,76.516.486,75.992.676,0,81.150.183,-0.03692627,-0.049438477,101.483.154.296.875,2.220.611.572.265.620,-64.300.537.109.375,0.164489746,1,4,1,1,4,85,,204,RHC,Female,Yes,Right
