,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 17:49:28.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,321,RHS,Male,Yes,Right
1,1,2022-11-02 17:49:28.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHS,Male,Yes,Right
2,2,2022-11-02 17:49:29.344,0.9121526537838072,0.4426302314116795,0.0,0.0,0.7031148129895244,0.1358243494578129,0.0,0.0,0.6129011391472009,0.3165338468776455,0.0,0.0,0.8191040742734021,0.3106600725847417,0.0,0.0,0.4509636254009088,-0.188878794137794,0.0,0.0,862.6739926739926,825.2014652014652,772.8205128205128,794.1758241758242,740.989010989011,-0.062927,-0.05719,1.008606,3.200073,-4.373932,0.665436,1.0,1.0,1.0,2.0,1.0,100.0,,321,RHS,Male,Yes,Right
3,3,2022-11-02 17:49:29.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHS,Male,Yes,Right
4,4,2022-11-02 17:49:29.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,321,RHS,Male,Yes,Right
5,5,2022-11-02 17:49:29.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHS,Male,Yes,Right
6,6,2022-11-02 17:49:30.345,0.9121526537838072,0.4426302314116795,0.0,0.0,0.7031148129895244,0.1358243494578129,0.0,0.0,0.6129011391472009,0.3165338468776455,0.0,0.0,0.8191040742734021,0.3106600725847417,0.0,0.0,0.4509636254009088,-0.188878794137794,0.0,0.0,794.1758241758242,781.6849816849817,745.8241758241759,767.1794871794872,691.4285714285714,-0.069885,-0.052795,1.024231,3.327179,-4.523468,-1.07666,1.0,2.0,1.0,2.0,2.0,100.0,,321,RHS,Male,Yes,Right
7,7,2022-11-02 17:49:30.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHS,Male,Yes,Right
8,8,2022-11-02 17:49:31.344,0.9121526537838072,0.4426302314116795,0.0,0.0,0.7031148129895244,0.1358243494578129,0.0,0.0,0.6129011391472009,0.3165338468776455,0.0,0.0,0.8191040742734021,0.3106600725847417,0.0,0.0,0.4509636254009088,-0.188878794137794,0.0,0.0,781.2820512820513,716.4102564102565,728.0952380952381,474.2490842490843,715.6043956043957,-0.068054,-0.036011,1.015869,2.265472,-3.596344,-0.261688,1.0,2.0,1.0,2.0,2.0,100.0,,321,RHS,Male,Yes,Right
9,9,2022-11-02 17:49:31.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,321,RHS,Male,Yes,Right
10,10,2022-11-02 17:49:32.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHS,Male,Yes,Right
11,11,2022-11-02 17:49:32.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,321,RHS,Male,Yes,Right
12,12,2022-11-02 17:49:32.345,0.9121526537838072,0.4426302314116795,0.0,0.0,0.7031148129895244,0.1358243494578129,0.0,0.0,0.6129011391472009,0.3165338468776455,0.0,0.0,0.8191040742734021,0.3106600725847417,0.0,0.0,0.4509636254009088,-0.188878794137794,0.0,0.0,848.5714285714286,786.1172161172161,512.5274725274726,754.2857142857143,842.5274725274726,-0.073425,-0.04126,1.010437,1.988831,-4.112244,0.605621,1.0,2.0,1.0,2.0,4.0,100.0,,321,RHS,Male,Yes,Right
13,13,2022-11-02 17:49:32.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,321,RHS,Male,Yes,Right
14,14,2022-11-02 17:49:33.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,321,RHS,Male,Yes,Right
15,15,2022-11-02 17:49:33.345,0.9121526537838072,0.4426302314116795,0.0,0.0,0.7031148129895244,0.1358243494578129,0.0,0.0,0.6129011391472009,0.3165338468776455,0.0,0.0,0.8191040742734021,0.3106600725847417,0.0,0.0,0.4509636254009088,-0.188878794137794,0.0,0.0,803.4432234432235,829.6336996336996,883.6263736263736,786.5201465201466,723.2600732600732,-0.073853,-0.042358,1.020935,3.813171,-4.792633,-0.112152,1.0,2.0,1.0,2.0,2.0,100.0,,321,RHS,Male,Yes,Right
16,16,2022-11-02 17:49:34.349,0.9121526537838072,0.4426302314116795,0.0,0.0,0.7031148129895244,0.1358243494578129,0.0,0.0,0.6129011391472009,0.3165338468776455,0.0,0.0,0.8191040742734021,0.3106600725847417,0.0,0.0,0.4509636254009088,-0.188878794137794,0.0,0.0,803.8461538461539,842.5274725274726,800.6227106227107,778.0586080586081,771.6117216117216,-0.073547,-0.041809,1.014954,4.029999,-5.71228,0.485992,1.0,2.0,1.0,2.0,2.0,100.0,,321,RHS,Male,Yes,Right
17,17,2022-11-02 17:49:35.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,321,RHS,Male,Yes,Right
18,18,2022-11-02 17:49:35.347,0.9121526537838072,0.4426302314116795,0.0,0.0,0.7031148129895244,0.1358243494578129,0.0,0.0,0.6129011391472009,0.3165338468776455,0.0,0.0,0.8191040742734021,0.3106600725847417,0.0,0.0,0.4509636254009088,-0.188878794137794,0.0,0.0,835.2747252747253,784.9084249084249,738.974358974359,824.3956043956044,822.3809523809524,-0.077148,-0.037537,1.015137,1.951447,-3.902893,0.306549,1.0,2.0,1.0,2.0,2.0,100.0,,321,RHS,Male,Yes,Right
19,19,2022-11-02 17:49:36.347,0.9121526537838072,1.01572946048135,0.0,0.0,0.7031148129895244,0.7944189631834561,0.0,0.0,0.6129011391472009,0.5138911317636266,0.0,0.0,0.8191040742734021,0.4376954610192255,0.0,0.0,0.4509636254009088,-0.1915919675392728,0.0,0.0,809.8901098901099,787.3260073260074,876.3736263736264,832.4542124542124,636.6300366300367,-0.081604,-0.033203,1.014404,4.044952,-3.633728,-1.286011,1.0,2.0,1.0,2.0,2.0,100.0,,321,RHS,Male,Yes,Right
20,20,2022-11-02 17:49:37.344,1.019578091809081,1.01572946048135,0.0,0.0,1.100049612902135,0.7944189631834561,0.0,0.0,0.6791593016420471,0.5138911317636266,0.0,0.0,0.4014508714686311,0.4376954610192255,0.0,0.0,0.3475675730315173,-0.1915919675392728,0.0,0.0,874.7619047619048,802.6373626373627,735.3479853479854,764.7619047619048,726.0805860805862,-0.075317,-0.035278,1.016235,2.519684,-4.044952,0.291595,1.0,1.0,1.0,2.0,1.0,100.0,,321,RHS,Male,Yes,Right
21,21,2022-11-02 17:49:37.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,321,RHS,Male,Yes,Right
