TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
34:10.4,0.8535905,0,0,1.1886373,0.52023375,0,0,0.6705072,0.4620719,0,0,0.65374976,0.7378534,0,0,0.9840195,0.7712999,0,0,0.6782898,819.9634,741.39197,913.8461,767.98535,738.97437,0.41003418,0.005737305,0.922058105,2.669219971,1.338348389,5.248718262,1,2,4,4,2,100,,120,LHC,Male,Yes,Right
34:11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,LHC,Male,Yes,Right
34:11.5,0.8535905,0,0,1.1886373,0.52023375,0,0,0.6705072,0.4620719,0,0,0.65374976,0.7378534,0,0,0.9840195,0.7712999,0,0,0.6782898,772.4176,1093.956,865.09155,905.78754,1011.75824,0.22076416,0.044921875,0.968200684,4.74029541,-26.81930542,-6.018829346,1,2,4,4,2,100,,120,LHC,Male,Yes,Right
34:12.5,0.8535905,0,0,1.1886373,0.52023375,0,0,0.6705072,0.4620719,0,0,0.65374976,0.7378534,0,0,0.9840195,0.7712999,0,0,0.6782898,758.315,987.1795,837.28937,716.4103,640.65936,0.509155273,-0.028198242,0.880432129,1.831817627,-2.766418457,0.276641846,1,2,4,2,2,100,,120,LHC,Male,Yes,Right
34:13.5,0.99660754,0,0,1.1886373,0.845909,0,0,0.6705072,1.0067375,0,0,0.65374976,0.97652406,0,0,0.9840195,0.67921454,0,0,0.6782898,803.44324,1286.1538,1110.4762,749.0476,788.93774,0.519287109,-0.015930176,0.874694824,4.665527344,-3.551483154,1.839294434,1,2,4,4,2,100,,120,LHC,Male,Yes,Right
34:14.5,0.68783015,0,0,1.1886373,0.57993954,0,0,0.6705072,0.85296506,0,0,0.65374976,0.93995285,0,0,0.9840195,0.81099033,0,0,0.6782898,882.8205,1162.8572,938.8278,809.89014,678.93774,0.514709473,-0.005249023,0.887268066,3.723449707,-4.545898438,0.485992432,1,1,4,2,1,100,,120,LHC,Male,Yes,Right
34:15.5,0.30650145,0,0,1.1886373,0.48383334,0,0,0.6705072,0.74571556,0,0,0.65374976,0.9608616,0,0,0.9840195,0.83954424,0,0,0.6782898,860.2564,1304.2858,998.46155,794.17584,815.12823,0.499755859,0.008911133,0.881652832,6.841278076,-4.78515625,-0.336456299,1,1,4,2,1,100,,120,LHC,Male,Yes,Right
34:16.5,0.30650145,0,0,1.1886373,0.48383334,0,0,0.6705072,0.74571556,0,0,0.65374976,0.9608616,0,0,0.9840195,0.83954424,0,0,0.6782898,947.6923,1479.5604,1226.1172,682.5641,767.98535,0.497680664,0.027404785,0.861816406,3.282318115,-2.175750732,2.011260986,1,1,4,2,1,100,,120,LHC,Male,Yes,Right
34:17.6,0.30650145,0,0,1.1886373,0.48383334,0,0,0.6705072,0.74571556,0,0,0.65374976,0.9608616,0,0,0.9840195,0.83954424,0,0,0.6782898,809.4872,1177.7656,970.2564,841.31866,608.022,0.480102539,0.034729004,0.899353027,2.796325684,-3.177642822,-1.061706543,1,2,4,4,2,100,,120,LHC,Male,Yes,Right
34:18.6,0.30650145,0,0,1.1886373,0.48383334,0,0,0.6705072,0.74571556,0,0,0.65374976,0.9608616,0,0,0.9840195,0.83954424,0,0,0.6782898,886.8498,1007.326,810.293,835.2747,696.6667,0.467712402,0.050964355,0.894958496,2.302856445,-3.573913574,-0.471038818,1,2,4,4,2,100,,120,LHC,Male,Yes,Right
34:19.6,0.30650145,0,0,1.1886373,0.48383334,0,0,0.6705072,0.74571556,0,0,0.65374976,0.9608616,0,0,0.9840195,0.83954424,0,0,0.6782898,909.81683,716.4103,1011.75824,911.4286,636.63007,0.47076416,0.052978516,0.906005859,4.134674072,-6.863708496,0.314025879,1,2,4,4,2,100,,120,LHC,Male,Yes,Right
