TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
08:12.8,0,0.7373669,0.8730631,11.627.318,0,0.4171073,0.15904814,11.124.225,0,0.23896179,0.21463083,15.389.609,0,0.7903006,0.29172182,12.307.601,0,0.47886395,-0.044453472,10.588.351,68.820.514,11.282.051,91.868.134,8.014.286,70.271.063,0.009094238,-0.021118164,10.166.015.625,27.813.720.703.125,-491.973.876.953.125,0.665435791,1,4,2,1,2,85,,203,LHS,Female,No,Right
08:13.8,0,0.7373669,0.8730631,0.6127301,0,0.4171073,0.15904814,0.115608156,0,0.23896179,0.21463083,0.4956218,0,0.7903006,0.29172182,0.9242246,0,0.47886395,-0.044453472,0.8153411,9.428.571,1.459.414,101.175.824,80.505.493,76.516.486,0.00958252,-0.010803223,101.629.638.671.875,3.342.132.568.359.370,-478.515.625,-0.209350586,1,4,4,1,1,85,,203,LHS,Female,No,Right
08:14.8,0,0.7373669,0.8730631,0.7337081,0,0.4171073,0.15904814,0.34628707,0,0.23896179,0.21463083,0.48081616,0,0.7903006,0.29172182,0.79150677,0,0.47886395,-0.044453472,0.8170555,15.710.256,14.856.044,9.980.586,8.203.663,76.435.895,0.026611328,-0.007568359,101.318.359.375,2.803.802.490.234.370,-6.078.643.798.828.120,109.161.376.953.125,1,4,4,1,1,85,,203,LHS,Female,No,Right
08:15.8,0,0.7373669,0.45740166,0.51802206,0,0.4171073,0.003248575,0.3391953,0,0.23896179,0.15344635,0.3551788,0,0.7903006,0.37800664,0.56211704,0,0.47886395,-0.09264951,0.20521463,12.180.586,11.821.978,91.626.373,80.989.014,7.152.015,0.049743652,-0.003295898,10.179.443.359.375,2.691.650.390.625,-56.524.658.203.125,-0.179443359,1,2,1,1,1,85,,203,LHS,Female,No,Right
08:16.9,0,0.7373669,0.4960115,0.5727058,0,0.4171073,-0.08754263,0.12219168,0,0.23896179,0.41298708,0.41829154,0,0.7903006,0.35944358,0.4356868,0,0.47886395,-0.07854814,0.21246432,7.413.919,8.945.055,8.256.044,8.304.396,72.084.247,0.062683105,-0.001281738,10.155.029.296.875,2.332.763.671.875,-54.730.224.609.375,0.927124023,1,4,1,1,1,85,,203,LHS,Female,No,Right
08:17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,203,LHS,Female,No,Right
08:17.9,0,0.7373669,0.46233317,0.576622,0,0.4171073,0.2557263,0.11501777,0,0.23896179,0.5752399,0.41280663,0,0.7903006,0.23324999,0.3879886,0,0.47886395,0.12844186,0.11835413,5.161.539,9.847.619,85.703.296,8.147.253,77.443.225,0.074279785,-0.001342773,101.043.701.171.875,3.596.343.994.140.620,-5.031.890.869.140.620,1.368.255.615.234.370,1,4,2,1,1,85,,203,LHS,Female,No,Right
08:18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,203,LHS,Female,No,Right
08:18.9,0,0.7373669,0.7147394,0.43646297,0,0.4171073,0.4763637,0.26770586,0,0.23896179,0.49680918,0.36431688,0,0.7903006,0.6486134,0.44182622,0,0.47886395,0.4889238,-0.016246438,63.663.002,6.966.667,7.345.421,7.462.271,78.087.915,0.054626465,-0.001281738,101.336.669.921.875,336.456.298.828.125,-183.929.443.359.375,-0.014953613,1,4,4,1,1,85,,203,LHS,Female,No,Right
08:19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,203,LHS,Female,No,Right
