TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
04:31.4,0,0,12.010.396,12.371.078,0,0,0.5145132,10.255.514,0,0,0.4093539,0.9811304,0,0,0.4448075,0.85720664,0,0,0.0305393,0.4868008,0,6.571.795,75.912.085,77.201.465,6.624.176,-0.038757324,-0.030273438,1.017.822.265.625,447.113.037.109.375,-279.632.568.359.375,-354.400.634.765.625,1,4,1,1,2,90,,203,RHC,Female,No,Right
04:32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,203,RHC,Female,No,Right
04:32.4,0,0,12.010.396,12.371.078,0,0,0.5145132,10.255.514,0,0,0.4093539,0.9811304,0,0,0.4448075,0.85720664,0,0,0.0305393,0.4868008,16.020.513,89.087.915,8.231.868,74.542.126,67.934.064,-0.04284668,-0.043640137,101.904.296.875,297.576.904.296.875,-4.059.906.005.859.370,0.97946167,1,4,1,1,2,90,,203,RHC,Female,No,Right
04:33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,203,RHC,Female,No,Right
04:33.4,0,0,12.010.396,12.371.078,0,0,0.5145132,10.255.514,0,0,0.4093539,0.9811304,0,0,0.4448075,0.85720664,0,0,0.0305393,0.4868008,15.432.234,9.223.077,8.078.755,78.490.845,81.915.753,-0.058044434,-0.051330566,100.592.041.015.625,2.594.451.904.296.870,-1.173.858.642.578.120,0.164489746,1,4,1,1,2,90,,203,RHC,Female,No,Right
04:34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,203,RHC,Female,No,Right
04:34.4,0,0,12.010.396,12.371.078,0,0,0.5145132,10.255.514,0,0,0.4093539,0.9811304,0,0,0.4448075,0.85720664,0,0,0.0305393,0.4868008,16.842.491,8.892.674,7.913.553,799.011,8.429.304,-0.032958984,-0.045166016,1.018.798.828.125,2.160.797.119.140.620,-4.366.455.078.125,0.119628906,1,4,1,1,2,90,,203,RHC,Female,No,Right
04:35.5,0,0,12.010.396,0.98824567,0,0,0.5145132,0.6467968,0,0,0.4093539,0.82702804,0,0,0.4448075,0.91628695,0,0,0.0305393,0.65940857,114.432.236,9.412.454,8.292.308,79.941.394,7.333.333,-0.027526855,-0.049560547,100.970.458.984.375,130.096.435.546.875,-438.140.869.140.625,0.919647217,1,4,1,1,1,90,,203,RHC,Female,No,Right
04:36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,203,RHC,Female,No,Right
04:36.5,0,0.33424807,0.31736133,0.8164807,0,0.1551198,0.021265082,0.7427892,0,0.6605615,0.23495471,0.9231285,0,0.96513957,0.30039522,0.787928,0,0.67781293,0.113364495,0.41101295,13.933.334,90.336.993,816.337,8.235.897,717.619,-0.024047852,-0.065490723,101.666.259.765.625,312.530.517.578.125,-4.029.998.779.296.870,0.852355957,1,4,1,1,1,90,,203,RHC,Female,No,Right
