TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
01:11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.550.183,9.154.579,66.604.395,7.450.183,6.680.586,0.281738281,0.147460938,0.97088623,3.297.271.728.515.620,-4.613.189.697.265.620,-204.864.501.953.125,1,4,1,1,2,80,,205,LHC,Male,No,Left
01:11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,LHC,Male,No,Left
01:12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.010.986,66.604.395,69.989.014,8.590.476,7.978.022,0.300170898,0.147033691,0.950622559,411.224.365.234.375,-477.020.263.671.875,11.663.818.359.375,1,4,1,1,2,75,,205,LHC,Male,No,Left
01:13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.521.245,7.518.681,73.010.986,7.280.952,74.824.176,0.33380127,0.12878418,0.950927734,4.015.045.166.015.620,-7.544.097.900.390.620,0.104675293,1,2,1,1,2,75,,205,LHC,Male,No,Left
01:14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.847.619,77.040.295,73.373.627,80.102.563,8.497.802,0.322387695,0.126586914,0.962036133,3.431.854.248.046.870,-59.814.453.125,0.254211426,1,2,1,1,2,75,,205,LHC,Male,No,Left
01:15.2,0,0,0.8185483,0,0,0,-0.17227036,0,0,0,0.51701385,0,0,0,0.4302296,0,0,0,0.040151123,0,16.181.685,7.712.088,7.607.326,7.369.597,7.438.095,0.31072998,0.137145996,0.96697998,5.585.174.560.546.870,-5.241.241.455.078.120,-16.448.974.609.375,1,2,1,1,2,75,,205,LHC,Male,No,Left
01:16.3,0,0,0.8910532,0,0,0,0.64705175,0,0,0,0.7774586,0,0,0,0.34045053,0,0,0,-0.05479587,0,4.359.707,8.316.484,7.607.326,7.607.326,7.716.117,0.333862305,0.126098633,0.956604004,26.318.359.375,-483.001.708.984.375,0.538330078,1,2,1,1,2,75,,205,LHC,Male,No,Left
01:17.3,0,0,0.7339963,10.838.416,0,0,0.6874531,10.349.556,0,0,0.6784085,1.044.999,0,0,0.17169939,0.8075347,0,0,-0.050192166,0.52028656,79.014.655,8.409.158,752.674,79.336.993,76.032.965,0.339538574,0.12677002,0.957092285,432.159.423.828.125,-6.661.834.716.796.870,0.276641846,1,2,1,1,1,75,,205,LHC,Male,No,Left
01:18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,LHC,Male,No,Left
01:18.3,0,0,0.333412,0.96410704,0,0,0.3602661,0.54133415,0,0,0.23967487,10.534.626,0,0,0.23210157,0.816778,0,0,-0.040212452,0.3850557,14.852.014,63.300.366,77.886.444,5.983.516,7.345.421,0.378234863,0.138122559,0.950317383,3.895.416.259.765.620,-8.964.691.162.109.370,-1.353.302.001.953.120,1,4,1,1,1,75,,205,LHC,Male,No,Left
