,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 18:07:36.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,322,LHC,Male,Yes,Left
1,1,2022-11-02 18:07:37.877,1.231578845163716,0.0,0.0,0.559579808934763,0.9625187658897444,0.0,0.0,0.6785859893352659,1.27845056389463,0.0,0.0,1.305162108051901,1.040423050491163,0.0,0.0,1.145715501393536,0.7348097425203433,0.0,0.0,0.6421645145157069,796.5934065934066,1182.197802197802,527.8388278388279,784.5054945054945,756.3003663003664,0.589844,0.150024,0.797974,3.880463,-3.611298,3.708496,1.0,1.0,4.0,2.0,1.0,100.0,,322,LHC,Male,Yes,Left
2,2,2022-11-02 18:07:38.872,1.259360604559665,0.0,0.0,0.7269683456273973,0.9742245658568492,0.0,0.0,0.5672766187066272,1.174041318404354,0.0,0.0,1.314170935396737,0.9935645368771092,0.0,0.0,1.141579323182852,0.7341284829722381,0.0,0.0,0.740511989847196,825.2014652014652,655.1648351648352,613.6630036630037,780.4761904761905,870.7326007326008,0.649048,0.160156,0.773804,2.736511,-6.39267,0.418701,1.0,1.0,4.0,2.0,1.0,100.0,,322,LHC,Male,Yes,Left
3,3,2022-11-02 18:07:39.872,1.092674796714066,0.0,0.0,0.9265062674050772,0.6077467227969054,0.0,0.0,0.5781513109510175,1.231569415318161,0.0,0.0,1.345498095030768,0.7447846265165093,0.0,0.0,1.010841471255922,0.5080596730011533,0.0,0.0,0.7287874821942915,740.5860805860806,8.058608058608058,616.4835164835165,786.1172161172161,742.6007326007326,0.572998,0.218018,0.789734,2.601929,3.424377,-7.215118,1.0,1.0,4.0,2.0,1.0,60.0,,322,LHC,Male,Yes,Left
4,4,2022-11-02 18:07:40.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,LHC,Male,Yes,Left
5,5,2022-11-02 18:07:40.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,LHC,Male,Yes,Left
6,6,2022-11-02 18:07:40.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,LHC,Male,Yes,Left
7,7,2022-11-02 18:07:40.876,1.071272637097058,0.0,0.0,1.011705162322801,0.5884255803092412,0.0,0.0,0.5493614593250146,1.113484404675708,0.0,0.0,1.334584084920391,0.7462273734914905,0.0,0.0,0.8922124771232409,0.5436278407240014,0.0,0.0,0.6966849816174114,818.7545787545788,1287.765567765568,832.8571428571429,783.6996336996338,871.941391941392,0.447937,0.319336,0.790771,-4.620667,23.48465,-29.189453,1.0,1.0,4.0,2.0,1.0,60.0,,322,LHC,Male,Yes,Left
8,8,2022-11-02 18:07:41.878,1.071272637097058,0.0,0.0,1.011705162322801,0.5884255803092412,0.0,0.0,0.5493614593250146,1.113484404675708,0.0,0.0,1.334584084920391,0.7462273734914905,0.0,0.0,0.8922124771232409,0.5436278407240014,0.0,0.0,0.6966849816174114,502.8571428571429,1615.750915750916,618.901098901099,826.007326007326,668.8644688644689,0.149414,0.158936,0.981628,2.69165,19.275208,2.50473,1.0,1.0,4.0,2.0,1.0,60.0,,322,LHC,Male,Yes,Left
9,9,2022-11-02 18:07:42.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,LHC,Male,Yes,Left
