TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
32:47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,122,LHS,Female,Yes,Left
32:47.1,0.27485248,0,0,0.8094461,0.55952406,0,0,0.78604025,0.50968266,0,0,0.72557724,0.72614396,0,0,0.8048269,-0.0809537,0,0,0.46386972,817.5458,997.6557,11.282051,805.4579,826.8132,0.115844727,-0.066162109,0.995422363,0.814971924,-20.63598633,-9.069366455,1,2,2,2,2,70,,122,LHS,Female,Yes,Left
32:47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
32:48.1,0.27485248,0,0,0.8094461,0.55952406,0,0,0.78604025,0.50968266,0,0,0.72557724,0.72614396,0,0,0.8048269,-0.0809537,0,0,0.46386972,817.1429,820.3663,1089.1208,796.99634,965.0183,0.465942383,0.249755859,0.868469238,10.60211182,-8.157196045,5.129089355,1,2,1,2,2,70,,122,LHS,Female,Yes,Left
32:48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
32:49.1,0.27485248,0,0,0.8094461,0.55952406,0,0,0.78604025,0.50968266,0,0,0.72557724,0.72614396,0,0,0.8048269,-0.0809537,0,0,0.46386972,859.85345,691.02563,901.3553,815.5311,743.00366,0.502746582,0.254882813,0.858825684,3.185119629,-5.60760498,-0.014953613,1,2,1,2,2,70,,122,LHS,Female,Yes,Left
32:50.1,0.27485248,0,0,0.8094461,0.55952406,0,0,0.78604025,0.50968266,0,0,0.72557724,0.72614396,0,0,0.8048269,-0.0809537,0,0,0.46386972,748.24176,1016.1905,1011.3553,712.381,772.8205,0.508789063,0.262329102,0.845825195,2.497253418,-4.71786499,0.411224365,1,2,1,2,2,70,,122,LHS,Female,Yes,Left
32:50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
32:51.1,0.27485248,0,0,0.8094461,0.55952406,0,0,0.78604025,0.50968266,0,0,0.72557724,0.72614396,0,0,0.8048269,-0.0809537,0,0,0.46386972,802.6374,871.53845,888.46155,800.2198,746.2271,0.498291016,0.262329102,0.854492188,1.749572754,-5.054321289,-0.403747559,1,2,1,2,2,70,,122,LHS,Female,Yes,Left
32:52.1,0.63492393,0,0,0.80581635,0.344167,0,0,0.7083195,0.62940794,0,0,0.841037,0.41925755,0,0,0.5203467,-0.1679925,0,0,0.120417766,809.0842,700.293,696.26373,787.326,673.69965,0.503234863,0.265258789,0.85333252,3.289794922,-5.226287842,-0.351409912,1,1,1,2,1,70,,122,LHS,Female,Yes,Left
32:52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
