TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
15:41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621.392,556.8498,173.26007,0,240.95238,0.110717773,0.168701172,0.96661377,20.56121826,-17.0022583,10.19088745,0,4,4,4,4,50,,103,RHC,M,Yes,Left
15:42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,103,RHC,M,Yes,Left
15:42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621.392,1086.7032,726.8865,1594.7986,2.014652,0.15802002,0.110595703,1.028320313,-11.43203735,-3.835601807,9.802093506,1,4,4,4,4,50,,103,RHC,M,Yes,Left
15:43.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100.8059,1141.9048,1622.1978,1541.2087,0.18157959,0.051330566,1.088623047,-2.198181152,7.155303955,16.29943848,0,4,4,4,4,50,,103,RHC,M,Yes,Left
15:44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.3993,886.04395,1517.4359,1106.4469,843.3333,0.379455566,-0.251342773,0.888916016,-17.91442871,-7.200164795,3.678588867,0,4,4,4,4,50,,103,RHC,M,Yes,Left
15:44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,103,RHC,M,Yes,Left
15:45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,103,RHC,M,Yes,Left
15:45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,103,RHC,M,Yes,Left
15:45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029.8901,788.5348,1621.392,990,807.47253,0.344421387,-0.311828613,0.900939941,8.329162598,-5.615081787,3.319702148,1,2,1,4,2,50,,103,RHC,M,Yes,Left
15:46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,103,RHC,M,Yes,Left
