TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
58:38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.332.968,10.431.868,8.747.619,9.573.626,9.569.597,0.465209961,0.225097656,0.874938965,1.772.003.173.828.120,-3.416.900.634.765.620,-1.218.719.482.421.870,1,4,1,1,2,80,,205,RHC,Male,No,Left
58:38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,RHC,Male,No,Left
58:38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,RHC,Male,No,Left
58:39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,RHC,Male,No,Left
58:39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700.293,40.172.162,78.369.965,80.344.324,7.542.857,0.447937012,0.228027344,0.878479004,1.577.606.201.171.870,-2.160.797.119.140.620,-0.762634277,1,4,1,1,2,80,,205,RHC,Male,No,Left
58:39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,RHC,Male,No,Left
58:40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.175.825,9.489.011,8.405.128,8.429.304,6.454.945,0.447814941,0.225708008,0.88494873,336.456.298.828.125,-441.131.591.796.875,0.171966553,1,4,1,1,2,80,,205,RHC,Male,No,Left
58:41.3,0,0,11.891.309,0,0,0,0.48626098,0,0,0,0.4053885,0,0,0,0.09379554,0,0,0,-0.09475242,0,86.912.085,7.373.626,8.082.784,931.978,11.120.879,0.456726074,0.25,0.889648438,2.714.080.810.546.870,-5.151.519.775.390.620,0.007476807,1,4,1,1,2,80,,205,RHC,Male,No,Left
58:42.3,0,0,10.126.109,0,0,0,0.23899096,0,0,0,0.36944747,0,0,0,0.08673544,0,0,0,0.012354624,0,26.835.165,87.032.965,8.288.278,6.902.198,7.486.447,0.459838867,0.24798584,0.871887207,2.863.616.943.359.370,-4.673.004.150.390.620,-1.248.626.708.984.370,1,2,1,1,2,80,,205,RHC,Male,No,Left
58:42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,RHC,Male,No,Left
