TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
54:42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,124,LHC,Female,Yes,Right
54:42.6,0.15337555,0,0,-0.13085388,0.47360164,0,0,0.5010354,0.22466892,0,0,0.36360368,0.58810854,0,0,0.68489206,0.49238437,0,0,0.5331454,696.26373,1184.6154,628.5714,675.31134,718.022,-0.001098633,0.177124023,1.01373291,1.443023682,8.717956543,-38.22143555,1,2,4,2,2,75,,124,LHC,Female,Yes,Right
54:42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,124,LHC,Female,Yes,Right
54:43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,124,LHC,Female,Yes,Right
54:43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,124,LHC,Female,Yes,Right
54:43.6,0.15337555,0,0,-0.13085388,0.47360164,0,0,0.5010354,0.22466892,0,0,0.36360368,0.58810854,0,0,0.68489206,0.49238437,0,0,0.5331454,793.36993,546.77655,515.34796,767.98535,682.5641,0.370788574,0.073120117,0.959472656,1.248626709,-13.71994019,-3.192596436,1,2,4,2,2,75,,124,LHC,Female,Yes,Right
54:44.6,0.15337555,0,0,-0.13085388,0.47360164,0,0,0.5010354,0.22466892,0,0,0.36360368,0.58810854,0,0,0.68489206,0.49238437,0,0,0.5331454,825.2015,800.6227,635.82416,767.5824,758.315,0.464782715,0.097412109,0.914489746,4.815063477,-10.63201904,2.766418457,1,2,4,2,2,75,,124,LHC,Female,Yes,Right
54:45.6,0.15337555,0,0,-0.13085388,0.47360164,0,0,0.5010354,0.22466892,0,0,0.36360368,0.58810854,0,0,0.68489206,0.49238437,0,0,0.5331454,819.15753,988.3883,638.6447,816.337,635.0183,0.481201172,0.109375,0.88458252,1.704711914,-4.67300415,-2.115936279,1,2,4,1,2,75,,124,LHC,Female,Yes,Right
54:46.6,0.15337555,0,0,-0.13085388,0.47360164,0,0,0.5010354,0.22466892,0,0,0.36360368,0.58810854,0,0,0.68489206,0.49238437,0,0,0.5331454,813.91943,934.7985,684.17584,820.7692,674.5055,0.478820801,0.104553223,0.888977051,2.706604004,-5.375823975,0.628051758,1,2,4,2,2,75,,124,LHC,Female,Yes,Right
54:47.7,-0.019007055,0,0,0.18707226,0.09936375,0,0,0.06729239,0.46601465,0,0,0.4766862,0.77197576,0,0,0.9695968,0.7130538,0,0,0.7877014,830.84247,696.6667,651.13556,843.73627,729.707,0.491271973,0.106689453,0.881408691,2.945861816,-3.96270752,1.09161377,1,1,4,1,1,75,,124,LHC,Female,Yes,Right
