,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 18:18:23.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,323,LHC,Female,No,Right
1,1,2022-11-02 18:18:24.660,1.297797428481889,0.3303813701028069,0.9998500283893854,1.24040210224656,1.05171700575982,0.1824380748141642,0.5121600298521999,1.000536156121256,0.6177024277082217,0.1152869151334532,0.90495693985906,0.4936422743793836,0.2358530926702872,0.2696744167187196,0.6422967602227488,0.6951080801082162,-0.1353521318378601,0.0276554728423254,0.0286337796574862,0.5621446030800596,824.3956043956044,791.3553113553114,563.6996336996338,805.054945054945,815.5311355311355,0.608582,0.029541,0.816772,3.20755,-4.725342,0.067291,1.0,2.0,1.0,2.0,2.0,95.0,,323,LHC,Female,No,Right
2,2,2022-11-02 18:18:25.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,323,LHC,Female,No,Right
3,3,2022-11-02 18:18:25.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,323,LHC,Female,No,Right
4,4,2022-11-02 18:18:25.662,1.297797428481889,0.028157293477267,0.9998500283893854,0.2957312924081822,1.05171700575982,0.073264502051545,0.5121600298521999,0.3454751994128953,0.6177024277082217,0.2727872617042851,0.90495693985906,0.7243518486387555,0.2358530926702872,0.3829514449230327,0.6422967602227488,0.6978664918510322,-0.1353521318378601,0.01474796737883,0.0286337796574862,0.5104626168952078,0.0,1325.238095238095,613.2600732600732,0.0,774.8351648351648,0.610779,0.017639,0.817566,3.095398,-3.095398,0.149536,1.0,1.0,1.0,2.0,1.0,95.0,,323,LHC,Female,No,Right
5,5,2022-11-02 18:18:25.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,323,LHC,Female,No,Right
6,6,2022-11-02 18:18:26.662,1.297797428481889,0.0203078297610645,0.9998500283893854,0.2909614395509817,1.05171700575982,-0.3175496267801374,0.5121600298521999,0.3526589580628658,0.6177024277082217,0.1620380766010369,0.90495693985906,0.688294580541155,0.2358530926702872,0.381682656608436,0.6422967602227488,0.7120941724233353,-0.1353521318378601,0.0531920001274861,0.0286337796574862,0.525066760429293,810.2930402930403,732.9304029304029,822.3809523809524,817.948717948718,857.032967032967,0.601807,0.01001,0.820007,3.18512,-5.091705,0.456085,1.0,1.0,1.0,2.0,1.0,95.0,,323,LHC,Female,No,Right
7,7,2022-11-02 18:18:27.657,1.297797428481889,0.0203078297610645,0.9998500283893854,0.2909614395509817,1.05171700575982,-0.3175496267801374,0.5121600298521999,0.3526589580628658,0.6177024277082217,0.1620380766010369,0.90495693985906,0.688294580541155,0.2358530926702872,0.381682656608436,0.6422967602227488,0.7120941724233353,-0.1353521318378601,0.0531920001274861,0.0286337796574862,0.525066760429293,864.6886446886447,775.6410256410256,757.9120879120879,849.7802197802198,757.9120879120879,0.606506,0.009583,0.819336,3.170166,-6.302948,-2.863617,1.0,1.0,1.0,2.0,1.0,95.0,,323,LHC,Female,No,Right
8,8,2022-11-02 18:18:28.658,1.297797428481889,0.7974472519313335,0.9998500283893854,0.439617192796952,1.05171700575982,0.1812277213924297,0.5121600298521999,0.2515358099162709,0.6177024277082217,0.4272043758769845,0.90495693985906,0.6726449882819767,0.2358530926702872,0.3355303959974094,0.6422967602227488,0.4407402360674884,-0.1353521318378601,-0.1207606498423834,0.0286337796574862,0.1240796318238009,867.9120879120879,761.941391941392,909.4139194139194,867.1062271062272,787.7289377289378,0.606812,-0.001465,0.812866,2.437439,-5.68985,-0.650482,1.0,1.0,1.0,2.0,1.0,95.0,,323,LHC,Female,No,Right
9,9,2022-11-02 18:18:29.658,0.6762230195718569,0.5293019142390507,0.9998500283893854,0.6732959550465927,0.4770818681543769,-0.0570586525659187,0.5121600298521999,0.5878285051259552,0.2462447756783269,0.5465187455035055,0.90495693985906,0.7274257150769029,0.5038422286580218,0.2833750197420937,0.6422967602227488,0.5213921260156019,0.2539951198770607,-0.093629491070027,0.0286337796574862,0.1402612461603248,855.8241758241759,760.7326007326008,809.8901098901099,857.032967032967,763.5531135531136,0.621338,0.011475,0.799561,3.446808,-5.906677,0.02243,1.0,1.0,1.0,2.0,1.0,95.0,,323,LHC,Female,No,Right
