TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
46:58.8,0,0.48699558,0.9979122,1.6738065,0,0.7626885,0.11902322,1.2871101,0,0.85231817,0.21400951,0.8284543,0,0.99534696,0.28280178,1.0937519,0,0.72281295,0.074327834,0.9101913,0,437.17947,669.2674,806.26373,722.0513,-0.120544434,0.127624512,0.998718262,-2.108459473,-11.13296509,-2.96081543,1,4,4,4,2,100,,121,LHS,Male,Yes,Right
46:59.8,0,0.48699558,0.9979122,0.90034693,0,0.7626885,0.11902322,0.77900606,0,0.85231817,0.21400951,1.0177126,0,0.99534696,0.28280178,1.0173502,0,0.72281295,0.074327834,0.94945335,244.57875,773.22345,927.9487,819.5604,569.34064,-0.044677734,0.085876465,1.000366211,3.394470215,-6.355285645,2.519683838,1,4,4,4,2,100,,121,LHS,Male,Yes,Right
47:00.8,0,0.48699558,0.9979122,0.7179645,0,0.7626885,0.11902322,0.56789863,0,0.85231817,0.21400951,1.0177126,0,0.99534696,0.28280178,0.8841154,0,0.72281295,0.074327834,0.7261029,422.27106,650.32965,813.1135,799.81683,641.8681,-0.048217773,0.102294922,0.998352051,5.278625488,-1.330871582,-2.564544678,1,4,4,4,1,100,,121,LHS,Male,Yes,Right
47:01.8,0,0.48699558,0.9979122,0.53521866,0,0.7626885,0.11902322,0.537822,0,0.85231817,0.21400951,0.6914025,0,0.99534696,0.28280178,0.86297333,0,0.72281295,0.074327834,0.69419634,1243.8462,770,898.5348,784.90845,710.7692,-0.0390625,0.098693848,1.013305664,3.244934082,-3.618774414,-0.82244873,1,4,4,4,1,100,,121,LHS,Male,Yes,Right
47:02.8,0,0.48699558,0.9979122,0.8096086,0,0.7626885,0.11902322,0.538331,0,0.85231817,0.21400951,0.70458674,0,0.99534696,0.28280178,0.8608549,0,0.72281295,0.074327834,0.835411,1053.2601,870.7326,927.5458,840.5128,729.707,0.015808105,0.102661133,1.038696289,-0.336456299,-13.6227417,-1.644897461,1,4,4,4,1,100,,121,LHS,Male,Yes,Right
47:03.9,0,0.48699558,0.9979122,0.94406587,0,0.7626885,0.11902322,0.56852186,0,0.85231817,0.21400951,0.69298255,0,0.99534696,0.28280178,0.81172794,0,0.72281295,0.074327834,0.7091311,978.71796,794.17584,973.8828,774.43225,681.75824,-0.045593262,0.098205566,0.981018066,8.949737549,0.82244873,4.69543457,1,4,4,4,1,100,,121,LHS,Male,Yes,Right
47:04.9,0,0.48699558,0.9979122,0.6292139,0,0.7626885,0.11902322,0.53519624,0,0.85231817,0.21400951,0.6452359,0,0.99534696,0.28280178,0.8773855,0,0.72281295,0.074327834,0.8205971,1380.4396,709.15753,859.85345,797.8022,894.10254,-0.037231445,0.108703613,1.011901855,3.723449707,-3.252410889,-2.706604004,1,4,4,4,1,100,,121,LHS,Male,Yes,Right
47:05.9,0,0.48699558,0.9979122,0.4764523,0,0.7626885,0.11902322,0.5299934,0,0.85231817,0.21400951,0.81935084,0,0.99534696,0.28280178,0.99835706,0,0.72281295,0.074327834,0.73958147,700.696,650.32965,777.25275,791.75824,706.337,-0.04284668,0.089660645,1.000488281,7.409515381,-3.603820801,1.809387207,1,4,4,4,1,100,,121,LHS,Male,Yes,Right
47:06.9,0,0.48699558,0.9979122,0.42583454,0,0.7626885,0.11902322,0.24214128,0,0.85231817,0.21400951,0.5281257,0,0.99534696,0.28280178,0.78600425,0,0.72281295,0.074327834,0.765556,1356.2638,884.0293,1117.326,786.52014,659.19415,0.003479004,0.096008301,1.004150391,-1.502838135,-3.536529541,-3.902893066,1,4,4,4,1,100,,121,LHS,Male,Yes,Right
47:07.9,0,0.48699558,0.9979122,0.54270434,0,0.7626885,0.11902322,0.3829888,0,0.85231817,0.21400951,0.5913293,0,0.99534696,0.28280178,0.7914323,0,0.72281295,0.074327834,0.9123022,120.47619,621.7216,713.1868,786.52014,704.7253,0.016784668,0.127868652,1.04864502,4.433746338,-12.59841919,-2.676696777,1,4,4,4,1,100,,121,LHS,Male,Yes,Right
