TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
32:54.6,0.63687974,0,0,1.3156852,0.32934856,0,0,0.56218493,0.83676285,0,0,0.6570672,0.8674308,0,0,0.80840856,0.39040923,0,0,0.5286391,782.49084,1170.5128,867.1062,921.0989,763.5531,0.308776855,-0.196228027,0.955505371,-8.830108643,-15.60409546,-3.319702148,1,1,4,4,1,100,,120,RHC,Male,Yes,Right
32:55.7,0.70942336,0,0,1.3156852,0.34247592,0,0,0.56218493,0.83223635,0,0,0.6570672,0.8597509,0,0,0.80840856,0.40710452,0,0,0.5286391,743.4066,970.65936,1081.0623,734.1392,647.50916,0.390991211,-0.323364258,0.868652344,-2.639312744,-9.667510986,-0.785064697,1,1,4,4,1,100,,120,RHC,Male,Yes,Right
32:56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,RHC,Male,Yes,Right
32:56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,RHC,Male,Yes,Right
32:56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,RHC,Male,Yes,Right
32:56.7,0.70942336,0,0,1.3156852,0.34247592,0,0,0.56218493,0.83223635,0,0,0.6570672,0.8597509,0,0,0.80840856,0.40710452,0,0,0.5286391,1148.7546,1174.5421,905.78754,1627.8389,1019.81683,0.462646484,-0.352539063,0.829711914,1.136474609,-2.796325684,0.014953613,1,2,4,4,2,100,,120,RHC,Male,Yes,Right
32:57.7,0.70942336,0,0,1.3156852,0.34247592,0,0,0.56218493,0.83223635,0,0,0.6570672,0.8597509,0,0,0.80840856,0.40710452,0,0,0.5286391,929.15753,1341.7583,693.8461,939.6337,691.4286,0.431335449,-0.430053711,0.809509277,-4.471130371,-4.029998779,1.487884521,1,2,4,2,4,100,,120,RHC,Male,Yes,Right
32:58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,RHC,Male,Yes,Right
32:58.7,0.70942336,0,0,1.3156852,0.34247592,0,0,0.56218493,0.83223635,0,0,0.6570672,0.8597509,0,0,0.80840856,0.40710452,0,0,0.5286391,987.5824,1179.7803,1093.5531,835.2747,815.9341,0.48059082,-0.417236328,0.802429199,2.474822998,-4.949645996,1.622467041,1,2,4,4,2,100,,120,RHC,Male,Yes,Right
32:59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,120,RHC,Male,Yes,Right
32:59.7,0.70942336,0,0,1.3156852,0.34247592,0,0,0.56218493,0.83223635,0,0,0.6570672,0.8597509,0,0,0.80840856,0.40710452,0,0,0.5286391,886.4469,788.5348,782.49084,826.8132,799.81683,0.476501465,-0.429443359,0.785766602,3.289794922,-4.194488525,-1.727142334,1,2,4,1,2,100,,120,RHC,Male,Yes,Right
