TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
54:00.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,124,RHC,Female,Yes,Right
54:00.7,0.37911385,0,0,0.12752588,0.08629559,0,0,0.1587573,0.1632327,0,0,0.008550791,0.635496,0,0,0.69071287,0.0763605,0,0,0.21884339,860.2564,867.1062,701.9048,822.7839,714.7985,0.028198242,0.128601074,1.010498047,3.170166016,-4.351501465,0.418701172,1,2,4,2,2,75,,124,RHC,Female,Yes,Right
54:01.7,0.6127664,0,0,0.82991135,0.6393834,0,0,0.67429703,0.5288483,0,0,0.81016874,0.63878787,0,0,0.75743175,0.60231674,0,0,0.4097621,948.0952,814.7253,806.6667,973.47986,852.1978,0.153747559,0.064147949,0.994812012,-4.710388184,-17.10693359,55.80688477,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:01.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,124,RHC,Female,Yes,Right
54:02.7,0.6585817,0,0,0.8428482,0.68960214,0,0,0.66949725,0.3497132,0,0,0.81016874,0.72641903,0,0,0.756479,0.59961134,0,0,0.36358938,947.28937,433.15018,770.80585,896.52014,799.41394,0.313171387,-0.082824707,0.96105957,-8.104858398,-18.64715576,-18.52752686,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:02.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,124,RHC,Female,Yes,Right
54:03.7,0.6585817,0,0,0.8428482,0.68960214,0,0,0.66949725,0.3497132,0,0,0.81016874,0.72641903,0,0,0.756479,0.59961134,0,0,0.36358938,838.49817,902.5641,719.6337,869.92676,614.87177,0.503845215,-0.091430664,0.887145996,4.104766846,-10.50491333,2.385101318,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:04.7,0.8518054,0,0,1.0561187,0.601956,0,0,1.055173,0.60730606,0,0,0.8647948,0.8932796,0,0,1.3592457,0.6974654,0,0,1.0755652,846.9597,1045.6044,748.24176,849.3773,820.7692,0.496582031,-0.086730957,0.882385254,3.7159729,-4.276733398,0.149536133,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:05.7,0.9035233,0,0,1.125665,0.6360097,0,0,1.1184387,0.4788362,0,0,0.82467735,0.9333824,0,0,1.3432384,0.69038177,0,0,1.0791105,810.696,252.63736,377.94873,790.9524,874.7619,0.504699707,-0.081848145,0.871948242,4.112243652,-4.508514404,-0.523376465,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:06.7,0.9035233,0,0,1.125665,0.6360097,0,0,1.1184387,0.4788362,0,0,0.82467735,0.9333824,0,0,1.3432384,0.69038177,0,0,1.0791105,821.1722,1141.5018,788.93774,811.50183,710.7692,0.492004395,-0.080078125,0.881652832,2.990722656,-4.127197266,0.306549072,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:07.8,0.9035233,0,0,1.125665,0.6360097,0,0,1.1184387,0.4788362,0,0,0.82467735,0.9333824,0,0,1.3432384,0.69038177,0,0,1.0791105,769.19415,992.4176,798.60803,758.315,733.73627,0.493286133,-0.08605957,0.88482666,1.764526367,-3.506622314,-0.508422852,1,2,4,2,2,75,,124,RHC,Female,Yes,Right
54:08.8,0.9035233,0,0,0.090286106,0.6360097,0,0,0.39022335,0.4788362,0,0,0.82613635,0.9333824,0,0,1.0467122,0.69038177,0,0,1.1953539,749.0476,660.80585,598.3516,774.43225,701.9048,0.492431641,-0.08782959,0.881347656,2.886047363,-5.099182129,-0.082244873,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:09.8,0.40145132,0,0,0.3319442,0.46758842,0,0,0.39982894,0.24519558,0,0,0.7894973,0.7877294,0,0,1.0611961,0.2920081,0,0,0.8328706,765.16486,1056.4835,713.5897,755.89746,728.0952,0.497558594,-0.082214355,0.885559082,2.975769043,-4.344024658,-0.037384033,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:10.8,0.4536724,0,0,0.46140233,0.38607493,0,0,0.5747678,0.2878752,0,0,0.9125759,0.6547979,0,0,1.1296408,0.25369835,0,0,0.92671883,791.3553,678.5348,631.39197,781.685,832.0513,0.485534668,-0.077209473,0.887634277,4.142150879,-4.269256592,0.508422852,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,124,RHC,Female,Yes,Right
54:11.8,0.49782103,0,0,0.4341384,0.28821597,0,0,0.665742,0.07796218,0,0,0.74500066,0.49429342,0,0,1.2707602,0.24296817,0,0,1.0768691,759.12085,626.55676,618.49817,783.69965,750.2564,0.499145508,-0.078063965,0.897644043,5.360870361,-3.461761475,0.523376465,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:12.8,0.6509773,0,0,0.61990505,0.49278355,0,0,0.32118776,0.50923276,0,0,0.70442027,0.45992142,0,0,1.162325,0.37405542,0,0,1.1933881,760.7326,888.46155,638.24176,778.46155,761.53845,0.483276367,-0.063720703,0.897399902,3.529052734,-6.048736572,0.239257813,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:13.8,0.52339435,0,0,0.38637552,0.3409883,0,0,0.25272575,0.5206214,0,0,0.68457794,0.47330588,0,0,1.0434812,0.21414135,0,0,1.2350367,745.0183,918.68134,680.9524,738.97437,635.82416,0.477478027,-0.065490723,0.899719238,2.198181152,-3.96270752,0.471038818,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:14.8,0.4870861,0,0,0.4394377,0.5670389,0,0,0.4426367,0.529648,0,0,0.6954486,0.54424953,0,0,1.034238,0.17953734,0,0,1.1098202,746.2271,853.00366,621.31866,746.2271,714.7985,0.458557129,-0.065368652,0.907897949,2.968292236,-2.489776611,-1.457977295,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:15.8,0.7004198,0,0,0.6123125,0.68975043,0,0,0.70027685,0.6124956,0,0,0.9486633,0.6312381,0,0,1.1029191,0.3171449,0,0,1.1089717,766.77655,871.9414,639.45056,768.3883,639.45056,0.481567383,-0.082214355,0.890136719,2.729034424,-5.263671875,0.792541504,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:16.8,0.46791208,0,0,0.66143394,0.31884572,0,0,0.6035324,0.56174725,0,0,0.88493115,0.6433188,0,0,1.1565921,0.30778816,0,0,0.9306257,778.46155,848.5714,680.9524,804.2491,659.19415,0.513549805,-0.062683105,0.885009766,2.243041992,-5.031890869,-1.218719482,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:17.8,0.0836473,0,0,0.7159879,-0.2770047,0,0,0.33708832,0.3029261,0,0,0.76819146,0.47070485,0,0,1.1820785,0.016526202,0,0,0.8920874,736.1539,576.5934,566.52014,753.0769,803.8461,0.504089355,-0.065185547,0.882568359,1.345825195,-5.196380615,-0.792541504,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,124,RHC,Female,Yes,Right
54:18.8,0.0836473,0,0,0.42679355,-0.2770047,0,0,0.19863932,0.3029261,0,0,0.85470206,0.47070485,0,0,1.1912308,0.016526202,0,0,0.84072864,784.90845,778.0586,579.81683,819.5604,784.90845,0.50201416,-0.059509277,0.889648438,3.140258789,-4.964599609,-0.545806885,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:19.9,0.01786964,0,0,0.07203474,0.21180205,0,0,0.6696117,0.46656114,0,0,0.70435476,0.6551639,0,0,1.1575125,0.07741186,0,0,1.0760361,759.5238,720.4396,653.1502,793.36993,821.5751,0.496704102,-0.061157227,0.883300781,3.828125,-5.981445313,0.343933105,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:20.9,0.43851134,0,0,0.5305494,0.40090206,0,0,0.5144383,0.5474861,0,0,0.7923089,0.6124538,0,0,1.1427152,0.34056753,0,0,1.0897306,780.4762,718.4249,724.0659,821.1722,891.685,0.494262695,-0.057556152,0.886230469,2.923431396,-4.336547852,-0.785064697,1,1,4,2,1,75,,124,RHC,Female,Yes,Right
54:21.9,0.38331276,0,0,0.569348,0.30311924,0,0,0.34917533,0.56908983,0,0,0.86356676,0.6375215,0,0,1.1651454,0.46779156,0,0,0.9121554,787.72894,999.2674,668.0586,775.64105,645.89746,0.345458984,-0.005859375,0.966491699,14.59472656,24.15756226,-13.21899414,1,1,4,2,1,70,,124,RHC,Female,Yes,Right
54:22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,124,RHC,Female,Yes,Right
54:22.9,0.3387301,0,0,0.70809025,0.30366927,0,0,0.3569849,0.5732613,0,0,0.6627549,0.65022343,0,0,1.356311,0.5010364,0,0,0.7750928,729.304,680.54944,645.89746,759.5238,847.76556,-0.005126953,0.219055176,1.00177002,6.123504639,-5.241241455,-5.644989014,1,1,4,2,1,70,,124,RHC,Female,Yes,Right
