,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 17:47:26.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,321,RHC,Male,Yes,Right
1,1,2022-11-02 17:47:27.603,1.617799423176698,1.015718587461154,0.0,0.0,1.327995049110587,0.6071875546020877,0.0,0.0,1.206899041518552,0.6206568464305633,0.0,0.0,0.8227675972701908,0.2593748879807383,0.0,0.0,0.4601646125757681,0.1728260803990512,0.0,0.0,692.6373626373627,792.967032967033,528.2417582417582,1138.278388278388,761.941391941392,0.008179,0.06073,1.00293,0.575714,-4.515991,0.358887,1.0,2.0,1.0,2.0,4.0,100.0,,321,RHC,Male,Yes,Right
2,2,2022-11-02 17:47:27.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHC,Male,Yes,Right
3,3,2022-11-02 17:47:27.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHC,Male,Yes,Right
4,4,2022-11-02 17:47:28.603,1.617799423176698,1.015718587461154,0.0,0.0,1.327995049110587,0.6071875546020877,0.0,0.0,1.206899041518552,0.6206568464305633,0.0,0.0,0.8227675972701908,0.2593748879807383,0.0,0.0,0.4601646125757681,0.1728260803990512,0.0,0.0,790.5494505494506,807.8754578754579,805.054945054945,1162.051282051282,823.992673992674,-0.004883,0.060608,1.01355,2.654266,-5.233765,-0.957031,1.0,2.0,1.0,2.0,4.0,100.0,,321,RHC,Male,Yes,Right
5,5,2022-11-02 17:47:28.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHC,Male,Yes,Right
6,6,2022-11-02 17:47:29.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHC,Male,Yes,Right
7,7,2022-11-02 17:47:29.603,1.617799423176698,1.015718587461154,0.0,0.0,1.327995049110587,0.6071875546020877,0.0,0.0,1.206899041518552,0.6206568464305633,0.0,0.0,0.8227675972701908,0.2593748879807383,0.0,0.0,0.4601646125757681,0.1728260803990512,0.0,0.0,728.0952380952381,787.3260073260074,455.3113553113553,1072.600732600733,987.5824175824176,-0.0047,0.036621,0.997131,-0.0,-5.039368,-1.173859,1.0,2.0,1.0,2.0,4.0,100.0,,321,RHC,Male,Yes,Right
8,8,2022-11-02 17:47:29.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,321,RHC,Male,Yes,Right
9,9,2022-11-02 17:47:30.603,1.617799423176698,1.015718587461154,0.0,0.0,1.327995049110587,0.6071875546020877,0.0,0.0,1.206899041518552,0.6206568464305633,0.0,0.0,0.8227675972701908,0.2593748879807383,0.0,0.0,0.4601646125757681,0.1728260803990512,0.0,0.0,908.6080586080586,816.7399267399268,525.4212454212454,1391.318681318681,830.0366300366301,-0.029236,0.052246,0.979614,4.015045,-18.445282,9.166565,1.0,2.0,1.0,2.0,2.0,100.0,,321,RHC,Male,Yes,Right
