TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
37:51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,123,RHS,Female,Yes,Right
37:51.8,1.7736062,0,0.6361956,0,1.7835394,0,0.32891825,0,1.6285411,0,0.37562335,0,1.0192599,0,-0.036825184,0,0.675645,0,-0.4602782,0,880,720.84247,794.9817,456.11722,657.1795,-0.024841309,0.06439209,1.031860352,1.988830566,-5.577697754,3.289794922,1,4,4,1,2,60,,123,RHS,Female,Yes,Right
37:52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,RHS,Female,Yes,Right
37:52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,RHS,Female,Yes,Right
37:52.8,1.7736062,0,0.82138824,0,1.7835394,0,0.4624311,0,1.6285411,0,0.6323308,0,1.0192599,0,0.022581605,0,0.675645,0,-0.41685534,0,1304.6886,782.8938,806.6667,1621.7949,1000.07324,-0.014526367,-0.002380371,0.987976074,-13.44329834,-1.016845703,-8.665618896,1,4,4,1,2,60,,123,RHS,Female,Yes,Right
37:53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,RHS,Female,Yes,Right
37:53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,RHS,Female,Yes,Right
37:53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,RHS,Female,Yes,Right
37:53.8,1.7736062,0,0.6430148,0,1.7835394,0,0.12845133,0,1.6285411,0,0.46872425,0,1.0192599,0,-0.04006836,0,0.675645,0,-0.24398151,0,1210,861.8681,791.75824,861.4652,900.9524,-0.004333496,-0.147460938,1.023681641,11.91802979,-13.92181396,11.06567383,1,2,4,1,2,60,,123,RHS,Female,Yes,Right
37:53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,123,RHS,Female,Yes,Right
