TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
15:34.6,0,0.8752931,10.154.293,0.6734772,0,0.65303326,0.58164483,0.3463312,0,0.6159065,0.13466664,0.39099506,0,0.5862313,-0.027180698,0.47261173,0,0.52498883,-0.4913882,0.2691193,0,7.635.531,8.469.597,11.120.879,57.417.584,-0.252258301,0.057250977,0.974487305,336.456.298.828.125,-5.435.638.427.734.370,-0.852355957,1,2,1,1,4,80,,204,RHS,Female,Yes,Right
15:35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:35.6,0,0.8752931,10.154.293,0.6734772,0,0.65303326,0.58164483,0.3463312,0,0.6159065,0.13466664,0.39099506,0,0.5862313,-0.027180698,0.47261173,0,0.52498883,-0.4913882,0.2691193,1.262.381,7.502.564,9.102.198,16.217.949,9.190.842,-0.253479004,0.061401367,0.99786377,-2.415.008.544.921.870,-5.330.963.134.765.620,-127.105.712.890.625,1,4,1,1,4,80,,204,RHS,Female,Yes,Right
15:36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,204,RHS,Female,Yes,Right
15:36.6,0,0.8752931,10.154.293,0.6734772,0,0.65303326,0.58164483,0.3463312,0,0.6159065,0.13466664,0.39099506,0,0.5862313,-0.027180698,0.47261173,0,0.52498883,-0.4913882,0.2691193,0,7.542.857,83.487.177,23.893.773,85.300.366,-0.25402832,0.053710938,0.989379883,1.263.580.322.265.620,-94.207.763.671.875,8.381.500.244.140.620,1,4,1,1,4,80,,204,RHS,Female,Yes,Right
15:36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:37.6,0,0.8752931,10.154.293,0.6734772,0,0.65303326,0.58164483,0.3463312,0,0.6159065,0.13466664,0.39099506,0,0.5862313,-0.027180698,0.47261173,0,0.52498883,-0.4913882,0.2691193,13.478.022,8.155.311,8.256.044,12.087.913,92.512.823,-0.231750488,0.05279541,0.985290527,285.614.013.671.875,-4.912.261.962.890.620,-0.059814453,1,4,1,1,4,80,,204,RHS,Female,Yes,Right
15:37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,204,RHS,Female,Yes,Right
15:38.7,0,0.99372685,0.47689226,0.6734772,0,0.56821233,-0.019013597,0.3463312,0,0.7677313,0.42278984,0.39099506,0,0.2045347,0.17449482,0.47261173,0,-0.11652569,-0.020197665,0.2691193,13.739.926,8.376.923,80.344.324,8.775.824,96.542.126,-0.202636719,0.038208008,0.983886719,3.162.689.208.984.370,-6.108.551.025.390.620,1.308.441.162.109.370,1,4,1,1,4,80,,204,RHS,Female,Yes,Right
15:38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:39.7,0,10.225.816,0.8499114,0.6734772,0,0.7114511,0.11487063,0.3463312,0,0.2524601,0.35937545,0.39099506,0,0.28562874,-0.034012105,0.47261173,0,-0.14989339,-0.26625657,0.2691193,84.212.456,85.824.176,77.201.465,16.491.941,7.518.681,-0.205749512,0.043029785,0.991577148,2.011.260.986.328.120,-1.375.732.421.875,21.234.130.859.375,1,4,1,1,4,80,,204,RHS,Female,Yes,Right
15:40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:40.7,0,1.068.368,0.85436845,0.6734772,0,0.74374306,0.24629658,0.3463312,0,0.2457932,0.08696047,0.39099506,0,0.3250462,0.006322032,0.47261173,0,-0.14293334,-0.33569178,0.2691193,13.091.208,79.417.584,78.893.774,11.008.059,70.271.063,-0.198791504,0.043151855,100.421.142.578.125,3.768.310.546.875,-5.682.373.046.875,0.224304199,1,4,1,1,2,80,,204,RHS,Female,Yes,Right
15:41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:41.7,0,1.068.368,0.33117163,0.6734772,0,0.74374306,0.020844333,0.3463312,0,0.2457932,0.56027114,0.39099506,0,0.3250462,-0.07518789,0.47261173,0,-0.14293334,-0.38142347,0.2691193,14.404.762,8.368.865,78.369.965,95.534.796,810.696,-0.192687988,0.052307129,0.999328613,3.058.013.916.015.620,-66.693.115.234.375,26.019.287.109.375,1,4,1,1,2,80,,204,RHS,Female,Yes,Right
15:42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,204,RHS,Female,Yes,Right
15:42.8,0,0.6790967,0.6387605,0.6734772,0,0.43520135,-0.030069198,0.3463312,0,0.11658862,0.5467841,0.39099506,0,0.14381419,-0.10127711,0.47261173,0,-0.123730905,-0.5503786,0.2691193,8.368.865,8.131.135,7.885.348,8.316.484,77.443.225,-0.18572998,0.047790527,0.997253418,3.162.689.208.984.370,-234.771.728.515.625,-0.755157471,1,4,1,1,2,80,,204,RHS,Female,Yes,Right
15:42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,204,RHS,Female,Yes,Right
15:43.8,0,0.7777942,0.9962077,0.6734772,0,0.650144,0.042525105,0.3463312,0,0.009739538,0.5010654,0.39099506,0,0.14598398,0.20856154,0.47261173,0,-0.18689872,-0.20535788,0.2691193,63.985.345,79.457.874,7.776.557,4.347.619,5.999.634,-0.221374512,0.037536621,0.984375,231.781.005.859.375,-2.220.611.572.265.620,0.104675293,1,4,1,1,2,80,,204,RHS,Female,Yes,Right
15:44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
15:44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHS,Female,Yes,Right
