TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
30:26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,122,RHC,Female,Yes,Left
30:26.7,1.0369438,0,0,0.9307977,0.26602036,0,0,0.5147205,0.87550676,0,0,0.852026,1.0132943,0,0,0.81069547,0.39136085,0,0,0.45060554,838.0952,0,964.61536,821.1722,716.8132,0.243041992,0.041381836,0.950012207,5.682373047,2.257995605,7.357177734,1,2,4,1,2,70,,122,RHC,Female,Yes,Left
30:26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:27.7,1.0369438,0,0,0.9307977,0.26602036,0,0,0.5147205,0.87550676,0,0,0.852026,1.0132943,0,0,0.81069547,0.39136085,0,0,0.45060554,855.82416,687.3993,839.304,820.3663,743.8095,0.104797363,0.040710449,1.008666992,4.403839111,-15.50689697,-9.099273682,1,2,4,1,2,70,,122,RHC,Female,Yes,Left
30:28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:28.7,1.0369438,0,0,0.9307977,0.26602036,0,0,0.5147205,0.87550676,0,0,0.852026,1.0132943,0,0,0.81069547,0.39136085,0,0,0.45060554,850.18317,670.07324,997.6557,797.8022,762.74725,0.514770508,0.178100586,0.86315918,3.80569458,-16.36672974,1.428070068,1,2,2,1,2,70,,122,RHC,Female,Yes,Left
30:29.7,1.3681983,0,0,1.2577097,1.1193943,0,0,1.0819343,1.1360252,0,0,1.2064071,0.92110544,0,0,0.8104467,0.79541016,0,0,0.39317086,854.21246,828.8278,1436.8499,811.50183,628.97437,0.598754883,0.162536621,0.796142578,5.816955566,-9.719848633,0.837402344,1,1,2,1,1,70,,122,RHC,Female,Yes,Left
30:30.7,1.2793877,0,0,1.0231742,1.0285319,0,0,0.8298449,1.2348152,0,0,1.161362,1.0410373,0,0,0.8805596,0.7592662,0,0,0.4629646,834.0659,875.56775,1364.3224,809.4872,732.9304,0.598510742,0.194030762,0.816894531,4.411315918,-4.351501465,0.84487915,1,1,2,4,1,70,,122,RHC,Female,Yes,Left
30:30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,122,RHC,Female,Yes,Left
30:31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,122,RHC,Female,Yes,Left
30:31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:31.7,1.1589555,0,0,0.8897841,0.8828918,0,0,0.5015281,1.1401334,0,0,0.8281405,1.160768,0,0,0.82909846,0.65117705,0,0,0.5375402,841.31866,562.0879,1616.5568,804.65204,674.5055,0.581665039,0.209228516,0.814147949,5.906677246,-4.172058105,5.039367676,1,1,2,4,1,70,,122,RHC,Female,Yes,Left
30:32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,122,RHC,Female,Yes,Left
30:32.7,0.5511545,0,0,0.8828127,0.51825666,0,0,0.5009352,0.83105487,0,0,0.42235148,0.8844354,0,0,0.77959394,0.628373,0,0,0.49391493,768.3883,1086.7032,1597.2161,772.01465,659.19415,0.56237793,0.212524414,0.809753418,7.581481934,-1.555175781,-0.515899658,1,1,2,4,1,70,,122,RHC,Female,Yes,Left
30:33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,122,RHC,Female,Yes,Left
30:33.7,0.5526946,0,0,0.8828127,0.5460117,0,0,0.5009352,0.8203967,0,0,0.42235148,0.894982,0,0,0.77959394,0.62969756,0,0,0.49391493,785.7143,1331.2821,1523.0769,751.4652,673.69965,0.568664551,0.383911133,0.751159668,11.76849365,-6.243133545,-3.648681641,1,1,2,4,1,70,,122,RHC,Female,Yes,Left
30:33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,122,RHC,Female,Yes,Left
30:34.7,1.2174302,0,0,1.2889874,0.97767824,0,0,0.9891849,1.159464,0,0,1.307386,1.0873126,0,0,0.6714633,0.51322615,0,0,0.4952522,792.5641,1075.0183,1293.0037,813.91943,780.87915,0.595703125,0.409729004,0.728820801,5.65246582,-5.413208008,0.927124023,1,1,2,4,1,70,,122,RHC,Female,Yes,Left
30:35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:35.8,1.1762147,0,0,1.2205905,0.91074073,0,0,0.9175379,1.2104048,0,0,1.308055,1.0910138,0,0,0.7183568,0.5005878,0,0,0.45889887,805.4579,720.4396,865.89746,818.7546,781.28204,0.579772949,0.418579102,0.752685547,0.88973999,-7.52166748,-1.405639648,1,1,2,2,1,70,,122,RHC,Female,Yes,Left
