TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,Dominance
17:38.3,0.3901148,0.62124807,0,0.49243438,0.13236849,0.2690672,0,0.12343777,0.6229718,-0.1036966,0,0.38120478,1.169565,0.67193353,0,0.5199222,1.3980385,0.22786234,0,0.74900854,829.2308,1532.3444,512.1245,874.7619,763.5531,0.350830078,0.142211914,0.930480957,2.257995605,-10.87875366,-8.904876709,1,1,1,4,1,50,,103,RHS,M,Left
17:38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,103,RHS,M,Left
17:39.3,0.3901148,0.62124807,0,1.121116,0.13236849,0.2690672,0,0.62741184,0.6229718,-0.1036966,0,1.0234696,1.169565,0.67193353,0,0.9774575,1.3980385,0.22786234,0,0.75912553,836.8865,1483.5897,934.3956,824.7985,725.2747,0.39666748,0.096801758,0.923217773,3.401947021,-5.869293213,0.762634277,1,2,4,4,2,50,,103,RHS,M,Left
17:40.3,0.40845165,0.62124807,0,0.90827954,0.08557576,0.2690672,0,0.52800584,0.78505045,-0.1036966,0,1.0993004,0.61388046,0.67193353,0,0.9164038,0.44500083,0.22786234,0,0.7033332,836.08057,1405.8242,554.43225,840.10986,697.47253,0.405395508,0.10534668,0.928527832,0.314025879,-4.74029541,-2.998199463,1,1,4,4,1,50,,103,RHS,M,Left
17:41.3,0.44677123,0.62124807,0,0.5758088,0.23603442,0.2690672,0,0.35633683,0.81342417,-0.1036966,0,0.47859043,0.75624883,0.67193353,0,0.6811654,0.41481945,0.22786234,0,0.5470975,856.63007,761.9414,616.4835,833.663,799.41394,0.414794922,-0.029602051,0.929626465,-10.50491333,-3.379516602,-11.86569214,1,1,4,4,1,50,,103,RHS,M,Left
17:42.4,0.4526425,0.62124807,0,0.7938793,0.30993602,0.2690672,0,0.3096996,0.97955084,-0.1036966,0,0.43785536,0.84938246,0.67193353,0,0.6900494,0.434461,0.22786234,0,0.369128,818.7546,1138.6813,883.6264,829.2308,784.10254,0.413452148,-0.040466309,0.92767334,1.443023682,-4.979553223,-1.861724854,1,1,4,4,1,50,,103,RHS,M,Left
17:43.4,0.46279934,0.62124807,0,0.25231367,0.24656986,0.2690672,0,0.2732128,0.8812885,-0.1036966,0,0.25011817,0.78139395,0.67193353,0,0.8877404,0.362782,0.22786234,0,0.68534994,834.4689,540.32965,396.0806,832.4542,778.0586,0.41986084,-0.04675293,0.925720215,2.616882324,-4.67300415,-0.919647217,1,1,4,4,1,45,,103,RHS,M,Left
17:44.4,0.6199915,0.62124807,0,0.6820685,0.46413973,0.2690672,0,0.38622192,0.7190332,-0.1036966,0,0.7033924,0.7709288,0.67193353,0,0.87556213,0.34117964,0.22786234,0,0.67444843,819.15753,657.5824,253.44322,803.8461,861.06226,0.406066895,-0.063171387,0.925598145,-1.099090576,-4.964599609,-3.992614746,1,1,4,4,1,45,,103,RHS,M,Left
17:45.4,0.6562227,0.62124807,0,0.5273173,0.51970536,0.2690672,0,0.48917487,0.71182525,-0.1036966,0,0.7585743,0.80785775,0.67193353,0,0.7675645,0.35764417,0.22786234,0,0.5783682,819.5604,976.7033,810.293,815.5311,655.9707,0.386901855,-0.074951172,0.917541504,-1.517791748,-11.05819702,-6.938476563,1,1,4,4,1,45,,103,RHS,M,Left
17:46.4,0.5620945,0.62124807,0,0.50313497,0.34918946,0.2690672,0,0.29655105,0.7680262,-0.1036966,0,0.6494248,0.9763977,0.67193353,0,1.0100011,0.554498,0.22786234,0,0.8237225,812.71063,898.93774,713.5897,805.4579,812.3077,0.415405273,-0.082702637,0.927246094,3.342132568,-4.732818604,0.082244873,1,1,4,4,1,45,,103,RHS,M,Left
