TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
33:21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,122,LHS,Female,Yes,Left
33:21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:21.3,1.0439041,0,0,0.9347949,-0.10814655,0,0,0.6229914,0.5482932,0,0,0.7863179,0.5311402,0,0,0.73128533,0.004900739,0,0,0.5159109,809.4872,936.4103,603.1868,828.022,862.27106,0.376037598,0.02722168,0.956237793,-1.428070068,-9.727325439,-3.237457275,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:22.3,1.0439041,0,0,0.9347949,-0.10814655,0,0,0.6229914,0.5482932,0,0,0.7863179,0.5311402,0,0,0.73128533,0.004900739,0,0,0.5159109,865.89746,445.64102,627.3626,874.35895,811.9048,0.437438965,-0.016296387,0.919677734,1.951446533,-10.60211182,-4.403839111,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:23.3,1.0439041,0,0,0.9347949,-0.10814655,0,0,0.6229914,0.5482932,0,0,0.7863179,0.5311402,0,0,0.73128533,0.004900739,0,0,0.5159109,833.2601,817.5458,1064.1392,860.65936,757.9121,0.477722168,-0.001647949,0.904785156,5.226287842,-6.781463623,-4.71786499,1,1,1,2,1,65,,122,LHS,Female,Yes,Left
33:24.3,1.0439041,0,0,0.9347949,-0.10814655,0,0,0.6229914,0.5482932,0,0,0.7863179,0.5311402,0,0,0.73128533,0.004900739,0,0,0.5159109,789.7436,845.7509,979.12085,811.50183,676.9231,0.507263184,-0.011230469,0.885681152,1.405639648,-6.871185303,1.398162842,1,2,2,2,2,65,,122,LHS,Female,Yes,Left
33:25.3,0.5991856,0,0,0.90132517,0.3910025,0,0,0.7472186,0.8065396,0,0,1.1678628,0.5384478,0,0,0.63999397,0.17480145,0,0,0.39161733,800.2198,716.8132,828.8278,814.3223,770.80585,0.495056152,-0.043640137,0.895080566,2.489776611,-3.9402771,0.717773438,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:26.3,0.7379366,0,0,1.123918,0.34325004,0,0,0.54599726,0.56946546,0,0,0.94820267,0.5614138,0,0,0.641797,0.33930227,0,0,0.25926122,809.89014,775.2381,869.5238,825.2015,699.0842,0.501525879,-0.038818359,0.881713867,2.377624512,-7.753448486,0.949554443,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:27.3,0.72005874,0,0,1.0326202,0.15459296,0,0,0.45378524,0.27978548,0,0,0.8147959,0.51546615,0,0,0.7574433,0.6042516,0,0,0.43809512,798.20514,1083.0769,967.8388,819.9634,706.337,0.491149902,-0.024475098,0.890686035,2.930908203,-4.022521973,0.306549072,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:28.3,0.72005874,0,0,0.74476165,0.15459296,0,0,0.32830954,0.27978548,0,0,0.75012255,0.51546615,0,0,0.8627903,0.6042516,0,0,0.58938146,799.011,829.2308,620.9158,792.96704,741.79486,0.477722168,-0.045410156,0.89642334,1.480407715,-4.501037598,-1.039276123,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:29.3,0.5464418,0,0,0.74476165,0.47644114,0,0,0.32830954,0.45528728,0,0,0.75012255,0.683144,0,0,0.8627903,0.2913725,0,0,0.58938146,835.6777,814.3223,755.4945,830.84247,800.6227,0.473571777,-0.06072998,0.897766113,3.282318115,-3.558959961,1.128997803,1,2,2,2,2,65,,122,LHS,Female,Yes,Left
33:29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:30.3,0.6559511,0,0,0.74476165,0.44690034,0,0,0.32830954,0.5965297,0,0,0.75012255,0.6714499,0,0,0.8627903,0.2932182,0,0,0.58938146,813.91943,1161.6483,953.3333,818.3516,881.6117,0.474731445,-0.054626465,0.907287598,3.192596436,-4.149627686,-0.007476807,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:31.3,0.7135764,0,0,0.74476165,0.43213758,0,0,0.32830954,0.5965297,0,0,0.75012255,0.6846106,0,0,0.8627903,0.28965127,0,0,0.58938146,834.0659,713.1868,666.4469,848.5714,774.83514,0.457763672,-0.049316406,0.909240723,3.87298584,-4.358978271,1.9140625,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:32.4,0.7135764,0,0,0.74476165,0.43213758,0,0,0.32830954,0.5965297,0,0,0.75012255,0.6846106,0,0,0.8627903,0.28965127,0,0,0.58938146,813.5165,689.41394,796.1905,819.9634,1025.8608,0.486938477,-0.04486084,0.90234375,3.304748535,-6.160888672,1.02432251,1,2,2,2,2,65,,122,LHS,Female,Yes,Left
33:33.4,0.9246057,0,0,1.0168906,0.4568248,0,0,0.78846693,0.70932746,0,0,0.64971626,0.57127315,0,0,0.81058496,0.23081881,0,0,0.44117993,807.0696,989.19415,855.42126,814.7253,699.89014,0.462158203,-0.048278809,0.902282715,2.714080811,-4.059906006,-0.949554443,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,122,LHS,Female,Yes,Left
33:34.4,0.78551173,0,0,1.0301728,0.43275678,0,0,0.7735702,0.6432164,0,0,0.89633113,0.47156596,0,0,0.77001065,0.09419789,0,0,0.07896228,815.9341,927.5458,863.47986,808.68134,828.8278,0.456970215,-0.037658691,0.900512695,3.611297607,-5.233764648,0.164489746,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:35.4,0.5451339,0,0,0.7493967,0.40029916,0,0,0.6165868,0.54910696,0,0,0.87796426,0.47563258,0,0,0.75942796,0.04271485,0,0,0.08158475,783.69965,767.98535,784.90845,803.0403,749.85345,0.449157715,-0.040527344,0.910217285,3.932800293,-4.508514404,-0.014953613,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:36.4,0.55648816,0,0,0.59783137,-0.048188403,0,0,0.5009865,0.51427686,0,0,0.40421352,0.58177733,0,0,0.78343964,0.33184224,0,0,0.4513261,795.78754,989.19415,921.9048,792.1612,711.978,0.450805664,-0.040161133,0.922424316,3.229980469,-4.972076416,-2.452392578,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:37.4,0.58296394,0,0,0.5812775,0.18673518,0,0,0.658587,0.6836122,0,0,0.9287441,0.6698537,0,0,0.76624537,0.26978648,0,0,0.36145458,805.4579,935.6044,928.7546,824.3956,828.8278,0.45690918,-0.043334961,0.910461426,1.114044189,-5.682373047,-2.198181152,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:38.4,0.80608106,0,0,0.6941143,0.26684988,0,0,0.8173147,0.5219328,0,0,0.78981036,0.77237123,0,0,0.7538197,0.1486288,0,0,0.246717,815.9341,797.8022,856.2271,776.8498,809.89014,0.458251953,-0.040527344,0.920410156,2.96081543,-4.620666504,-1.517791748,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:39.4,0.8742765,0,0,0.7150603,0.26272652,0,0,0.7877978,0.5162443,0,0,0.7113879,0.7930918,0,0,0.78985476,0.15002069,0,0,0.253415,870.32965,1288.9744,997.6557,856.2271,727.6923,0.459655762,-0.036682129,0.903686523,3.536529541,-4.882354736,0.964508057,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
