TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
02:02.9,1.206.215,0.5025534,10.176.111,0.8142213,0.7754697,0.20778348,0.7300198,0.63820475,0.994616,10.329.918,0.28396654,0.5533369,0.9681854,10.111.369,0.1805623,0.86392486,0.26812267,0.92857397,-0.07952767,0.69226414,0,376.337,87.153.845,7.683.883,78.007.324,0.398742676,0.166137695,0.927734375,1.495.361.328.125,-24.822.998.046.875,-121.124.267.578.125,1,4,4,1,1,80,,205,RHS,Male,No,Left
02:03.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,205,RHS,Male,No,Left
02:03.9,1.206.215,0.5025534,10.176.111,0.7413726,0.7754697,0.20778348,0.7300198,0.48056644,0.994616,10.329.918,0.28396654,0.9540422,0.9681854,10.111.369,0.1805623,0.93711597,0.26812267,0.92857397,-0.07952767,0.54536235,9.924.176,4.134.066,7.925.641,799.011,7.571.062,0.388427734,0.188232422,0.937683105,2.280.426.025.390.620,-5.674.896.240.234.370,2.669.219.970.703.120,1,4,4,1,1,75,,205,RHS,Male,No,Left
02:04.9,1.206.215,0.5025534,10.176.111,10.179.286,0.7754697,0.20778348,0.7300198,0.5000977,0.994616,10.329.918,0.28396654,0.69357485,0.9681854,10.111.369,0.1805623,113.734,0.26812267,0.92857397,-0.07952767,0.830138,7.792.674,99.040.295,787.326,79.981.683,7.764.469,0.36138916,0.164123535,0.950134277,4.373.931.884.765.620,-2.714.080.810.546.870,-1.734.619.140.625,1,4,2,1,1,75,,205,RHS,Male,No,Left
02:06.0,1.206.215,0.5025534,11.019.385,0.90539217,0.7754697,0.20778348,0.56581897,0.6235879,0.994616,10.329.918,0.5435133,10.655.406,0.9681854,10.111.369,0.3106576,10.191.863,0.26812267,0.92857397,-0.12008165,0.7566334,15.532.968,80.465.204,79.014.655,7.978.022,66.846.155,0.368530273,0.151428223,0.932800293,249.725.341.796.875,-7.618.865.966.796.870,2.086.029.052.734.370,1,4,1,1,1,75,,205,RHS,Male,No,Left
02:07.0,1.206.215,0.5025534,12.176.135,0.96583086,0.7754697,0.20778348,0.5491048,0.72014636,0.994616,10.329.918,0.5867821,10.244.796,0.9681854,10.111.369,0.23635095,0.8818216,0.26812267,0.92857397,-0.1463627,0.7862734,9.255.311,90.578.754,79.820.514,8.292.308,80.344.324,0.36138916,0.154602051,0.937316895,3.828.125,-69.085.693.359.375,1.727.142.333.984.370,1,2,2,1,1,75,,205,RHS,Male,No,Left
02:08.0,1.206.215,0.5025534,1.130.065,10.632.674,0.7754697,0.20778348,0.29565933,0.58392584,0.994616,10.329.918,0.41971862,0.78817344,0.9681854,10.111.369,0.058769003,0.906368,0.26812267,0.92857397,-0.45748797,0.61083376,8.256.044,74.179.486,7.595.238,816.337,8.026.374,0.37121582,0.124633789,0.928100586,2.071.075.439.453.120,-2.579.498.291.015.620,-0.06729126,1,1,1,1,1,75,,205,RHS,Male,No,Left
02:09.0,1.206.215,0.5025534,12.338.514,1.090.471,0.7754697,0.20778348,0.093709946,0.667851,0.994616,10.329.918,0.23349027,0.76128554,0.9681854,10.111.369,0.074556634,0.9420251,0.26812267,0.92857397,-0.58314073,0.70273393,16.117.216,8.493.773,7.659.707,77.846.155,87.556.775,0.358337402,0.156311035,0.946228027,5.644.989.013.671.870,-7.977.752.685.546.870,-0.373840332,1,2,1,1,1,75,,205,RHS,Male,No,Left
02:09.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,RHS,Male,No,Left
02:09.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,205,RHS,Male,No,Left
