TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
13:16.7,0,0.47219807,0.13919875,0.3234933,0,-0.22460711,0.11679005,0.5463373,0,0.2459609,0.2363527,0.5464594,0,-0.12681249,0.033143144,0.67669755,0,-0.3450923,-0.3196073,0.897742,13.985.714,76.153.845,9.275.458,11.157.142,9.283.516,-0.20916748,0.042297363,0.994018555,3.506.622.314.453.120,-3.102.874.755.859.370,-0.037384033,1,4,1,1,4,80,,204,LHC,Female,Yes,Right
13:17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,LHC,Female,Yes,Right
13:17.8,0,10.028.244,0.13919875,0.3234933,0,0.31719077,0.11679005,0.5463373,0,0.06868467,0.2363527,0.5464594,0,0.38801602,0.033143144,0.67669755,0,0.051002122,-0.3196073,0.897742,0,78.369.965,850.989,0,59.271.063,-0.211120605,0.051635742,0.989440918,3.925.323.486.328.120,-5.809.478.759.765.620,-3.686.065.673.828.120,1,4,1,1,4,80,,204,LHC,Female,Yes,Right
13:17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,LHC,Female,Yes,Right
13:18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,LHC,Female,Yes,Right
13:18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,204,LHC,Female,Yes,Right
13:18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,LHC,Female,Yes,Right
13:18.8,0,0.45205295,0.13919875,0.3234933,0,0.04600866,0.11679005,0.5463373,0,0.08060913,0.2363527,0.5464594,0,-0.17897427,0.033143144,0.67669755,0,-0.19960646,-0.3196073,0.897742,6.084.249,8.264.103,87.153.845,16.217.949,6.257.509,-0.188537598,0.043823242,100.390.625,2.564.544.677.734.370,-6.676.788.330.078.120,-0.142059326,1,4,1,1,4,85,,204,LHC,Female,Yes,Right
13:19.8,0,0.25121564,0.13919875,0.3234933,0,0.042656295,0.11679005,0.5463373,0,-0.026019748,0.2363527,0.5464594,0,-0.11042337,0.033143144,0.67669755,0,-0.121918574,-0.3196073,0.897742,1.776.923,8.574.359,7.913.553,31.831.501,7.631.502,-0.143798828,0.065551758,0.998718262,375.335.693.359.375,-7.177.734.375,-3.506.622.314.453.120,1,4,1,1,4,85,,204,LHC,Female,Yes,Right
13:20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,LHC,Female,Yes,Right
13:20.8,0,13.286.802,0.13919875,0.3234933,0,0.5481921,0.11679005,0.5463373,0,0.3916917,0.2363527,0.5464594,0,0.005303206,0.033143144,0.67669755,0,0.22458744,-0.3196073,0.897742,57.054.944,8.272.161,78.128.204,84.776.556,86.589.746,-0.136474609,0.049560547,1,3.147.735.595.703.120,-411.224.365.234.375,0.314025879,1,4,1,1,4,85,,204,LHC,Female,Yes,Right
13:21.8,0,0.9082059,0.8851063,0.3234933,0,0.39668116,0.6201095,0.5463373,0,0.26025084,0.57418007,0.5464594,0,-0.12687463,0.25926992,0.67669755,0,-0.07285687,0.057488013,0.897742,15.661.904,74.139.197,77.886.444,13.687.546,9.049.817,-0.127746582,0.056640625,1.005.615.234.375,3.775.787.353.515.620,-64.599.609.375,-0.336456299,1,4,1,1,4,85,,204,LHC,Female,Yes,Right
13:22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,LHC,Female,Yes,Right
13:22.9,0,0.99925816,0.36877644,0.3234933,0,0.7320019,0.13158514,0.5463373,0,0.32362443,0.1539481,0.5464594,0,-0.14300421,0.14547755,0.67669755,0,-0.19892922,-0.20211141,0.897742,9.219.048,84.776.556,8.534.066,0,68.981.683,-0.105163574,0.048828125,10.152.587.890.625,201.873.779.296.875,-258.697.509.765.625,261.688.232.421.875,1,4,1,1,4,85,,204,LHC,Female,Yes,Right
13:22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,LHC,Female,Yes,Right
13:23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,LHC,Female,Yes,Right
13:23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,LHC,Female,Yes,Right
