TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
43:28.0,0,1.1681309,0.9979122,0,0,0.5973293,0.11902322,0,0,0.17133884,0.21400951,0,0,0.10361906,0.28280178,0,0,-0.22800149,0.074327834,0,21.35531,0,662.01465,828.022,897.326,-0.083251953,-0.017028809,1.00579834,0.418701172,2.340240479,1.510314941,1,4,1,1,2,100,,121,RHC,Male,Yes,Right
43:28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,121,RHC,Male,Yes,Right
43:28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,121,RHC,Male,Yes,Right
43:28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,121,RHC,Male,Yes,Right
43:29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,121,RHC,Male,Yes,Right
43:29.0,0,1.1681309,0.9979122,0,0,0.5973293,0.11902322,0,0,0.17133884,0.21400951,0,0,0.10361906,0.28280178,0,0,-0.22800149,0.074327834,0,1623.4066,1322.8206,985.56775,949.707,888.46155,-0.092712402,-0.018554688,1.021179199,3.678588867,-5.151519775,-2.811279297,1,4,1,1,2,100,,121,RHC,Male,Yes,Right
43:29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,121,RHC,Male,Yes,Right
43:29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,121,RHC,Male,Yes,Right
43:30.0,0,1.1681309,0.9979122,0,0,0.5973293,0.11902322,0,0,0.17133884,0.21400951,0,0,0.10361906,0.28280178,0,0,-0.22800149,0.074327834,0,489.56042,1549.6703,848.97437,765.56775,745.42126,-0.066955566,-0.082824707,1.014221191,1.77947998,-4.493560791,-0.209350586,1,4,4,1,2,100,,121,RHC,Male,Yes,Right
43:30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,121,RHC,Male,Yes,Right
