,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 17:30:32.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,319,RHS,Female,No,Right
1,1,2022-11-02 17:30:32.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,319,RHS,Female,No,Right
2,2,2022-11-02 17:30:33.805,0.0,-0.1394414137060501,0.0,0.0,0.0,-0.2961028781376617,0.0,0.0,0.0,0.1296775024899505,0.0,0.0,0.0,0.1209591158272665,0.0,0.0,0.0,-0.2162876381098591,0.0,0.0,987.1794871794872,789.3406593406594,640.6593406593407,871.941391941392,720.8424908424909,0.264893,-0.090149,0.973877,2.758942,-3.940277,0.261688,1.0,4.0,1.0,2.0,2.0,100.0,,319,RHS,Female,No,Right
3,3,2022-11-02 17:30:34.805,0.0,0.2522986609230948,0.0,0.0,0.0,-0.0586564132154774,0.0,0.0,0.0,0.1955692136239569,0.0,0.0,0.0,-0.0521188417571186,0.0,0.0,0.0,-0.4050574187661935,0.0,0.0,1087.509157509158,793.7728937728938,530.6593406593407,863.4798534798535,682.967032967033,0.273804,-0.106934,0.979492,2.474823,-5.330963,-0.328979,1.0,4.0,1.0,2.0,2.0,100.0,,319,RHS,Female,No,Right
4,4,2022-11-02 17:30:35.808,0.0,0.6548438820408058,0.0,1.235371186377951,0.0,0.313077088749884,0.0,0.972483360467419,0.0,0.3639689420542205,0.0,1.017184041258201,0.0,-0.0058660803994727,0.0,0.8855372132774926,0.0,-0.3023210342930305,0.0,0.4581777549582973,1370.3663003663,785.7142857142858,716.8131868131868,827.6190476190476,676.9230769230769,0.275696,-0.108276,0.975403,2.953339,-4.927216,-0.740204,1.0,4.0,1.0,2.0,1.0,100.0,,319,RHS,Female,No,Right
5,5,2022-11-02 17:30:36.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,319,RHS,Female,No,Right
6,6,2022-11-02 17:30:36.805,0.0,0.9499385636538912,0.0,1.200703318936046,0.0,0.4465501045927397,0.0,1.097222606455654,0.0,0.4143609512572114,0.0,0.9328235481485144,0.0,0.1311989620933619,0.0,0.8739569488139043,0.0,-0.1311401874526124,0.0,0.4760541154053912,510.1098901098901,782.0879120879121,603.992673992674,821.5750915750916,695.8608058608058,0.261902,-0.100281,0.98468,3.289795,-4.029999,-1.106567,1.0,4.0,1.0,2.0,1.0,100.0,,319,RHS,Female,No,Right
7,7,2022-11-02 17:30:37.805,0.0,0.563622416418173,0.0,1.571764548380804,0.0,0.0568387444884698,0.0,1.344730556471948,0.0,0.1938983963503233,0.0,0.8932852211424783,0.0,0.0416354234214443,0.0,0.7832482040904553,0.0,-0.1960792245891605,0.0,0.672493548944775,506.4835164835165,788.9377289377289,537.9120879120879,836.0805860805862,724.8717948717949,0.260315,-0.114807,0.968567,3.72345,-3.91037,-1.188812,1.0,4.0,1.0,2.0,1.0,100.0,,319,RHS,Female,No,Right
8,8,2022-11-02 17:30:38.805,0.0,0.1865950304607243,0.0,1.476244190964046,0.0,-0.0142516111951399,0.0,1.089180790950149,0.0,0.2389673632739438,0.0,0.9191365666049366,0.0,-0.0323071519202039,0.0,0.7767249948343291,0.0,-0.1198974080424206,0.0,0.5107083476469733,1362.307692307692,794.981684981685,676.5201465201466,871.1355311355312,750.2564102564103,0.273376,-0.107056,0.97821,2.908478,-4.695435,-0.276642,1.0,4.0,1.0,2.0,1.0,100.0,,319,RHS,Female,No,Right
9,9,2022-11-02 17:30:39.805,0.0,0.535308999407614,0.0,1.303289665471239,0.0,0.2887349782869586,0.0,1.008863226184133,0.0,0.457641451544515,0.0,1.024740129817035,0.0,0.0832831800035728,0.0,0.7323375633071058,0.0,-0.1779939155607023,0.0,0.5779032048239809,163.5897435897436,778.4615384615385,604.7985347985348,782.4908424908425,841.3186813186813,0.272461,-0.104736,0.978271,3.035583,-3.940277,0.762634,1.0,2.0,1.0,2.0,1.0,100.0,,319,RHS,Female,No,Right
