,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 18:40:24.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,325,LHS,Female,Yes,Right
1,1,2022-11-02 18:40:24.511,0.0,0.0,0.0,1.2253618,0.0,0.0,0.0,0.97380644,0.0,0.0,0.0,1.0427821,0.0,0.0,0.0,0.8816241,0.0,0.0,0.0,0.29058936,0.0,94.688644,541.13556,852.1978,640.65936,0.1126708984375,-0.0391845703125,1.0078125,3.401947021484375,-5.495452880859375,0.680389404296875,1.0,4.0,4.0,2.0,2.0,85.0,,325,LHS,Female,Yes,Right
2,2,2022-11-02 18:40:24.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
3,3,2022-11-02 18:40:24.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
4,4,2022-11-02 18:40:25.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
5,5,2022-11-02 18:40:25.522,0.0,0.0,0.0,1.2253618,0.0,0.0,0.0,0.97380644,0.0,0.0,0.0,1.0427821,0.0,0.0,0.0,0.8816241,0.0,0.0,0.0,0.29058936,1621.392,16.923077,991.2088,1143.1135,972.674,0.11865234375,-0.03515625,1.00775146484375,3.132781982421875,-3.805694580078125,0.299072265625,1.0,4.0,4.0,2.0,2.0,85.0,,325,LHS,Female,Yes,Right
6,6,2022-11-02 18:40:25.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
7,7,2022-11-02 18:40:26.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
8,8,2022-11-02 18:40:26.528,0.0,0.0,0.0,1.2253618,0.0,0.0,0.0,0.97380644,0.0,0.0,0.0,1.0427821,0.0,0.0,0.0,0.8816241,0.0,0.0,0.0,0.29058936,1292.6007,931.5751,886.8498,881.6117,716.4103,0.125,-0.03375244140625,1.00836181640625,3.536529541015625,-4.68048095703125,0.28411865234375,1.0,4.0,4.0,2.0,2.0,85.0,,325,LHS,Female,Yes,Right
9,9,2022-11-02 18:40:26.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
10,10,2022-11-02 18:40:27.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
11,11,2022-11-02 18:40:27.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
12,12,2022-11-02 18:40:27.542,0.0,0.0,0.0,1.2253618,0.0,0.0,0.0,0.97380644,0.0,0.0,0.0,1.0427821,0.0,0.0,0.0,0.8816241,0.0,0.0,0.0,0.29058936,564.10254,790.54944,819.5604,787.326,722.8571,0.1243896484375,-0.0322265625,1.01068115234375,1.9439697265625,-4.2169189453125,-1.12152099609375,1.0,4.0,4.0,2.0,2.0,85.0,,325,LHS,Female,Yes,Right
13,13,2022-11-02 18:40:27.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
14,14,2022-11-02 18:40:28.553,0.0,0.0,0.0,1.2253618,0.0,0.0,0.0,0.97380644,0.0,0.0,0.0,1.0427821,0.0,0.0,0.0,0.8816241,0.0,0.0,0.0,0.29058936,927.1429,897.72894,820.3663,836.08057,666.4469,0.12548828125,-0.0321044921875,1.0157470703125,3.22998046875,-5.450592041015625,0.46356201171875,1.0,2.0,4.0,2.0,2.0,85.0,,325,LHS,Female,Yes,Right
15,15,2022-11-02 18:40:29.567,0.0,0.0,0.0,1.1679308,0.0,0.0,0.0,1.0323466,0.0,0.0,0.0,1.0443357,0.0,0.0,0.0,0.7215242,0.0,0.0,0.0,0.22947869,352.16116,762.74725,865.09155,747.03296,813.5165,0.12152099609375,-0.0250244140625,1.00946044921875,2.70660400390625,-4.912261962890625,0.19439697265625,1.0,1.0,4.0,2.0,1.0,85.0,,325,LHS,Female,Yes,Right
16,16,2022-11-02 18:40:30.591,0.0,0.0,0.0,0.11532616,0.0,0.0,0.0,0.22192329,0.0,0.0,0.0,0.21562949,0.0,0.0,0.0,0.6427885,0.0,0.0,0.0,0.15707815,772.4176,756.30035,809.89014,803.8461,694.2491,0.1229248046875,-0.024658203125,1.01055908203125,2.235565185546875,-5.405731201171875,0.52337646484375,1.0,1.0,4.0,2.0,1.0,85.0,,325,LHS,Female,Yes,Right
17,17,2022-11-02 18:40:31.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
18,18,2022-11-02 18:40:31.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
19,19,2022-11-02 18:40:31.611,0.0,0.0,0.0,0.11532616,0.0,0.0,0.0,0.22192329,0.0,0.0,0.0,0.21562949,0.0,0.0,0.0,0.6427885,0.0,0.0,0.0,0.15707815,170.84248,445.64102,636.2271,724.0659,740.58606,0.13531494140625,-0.03094482421875,1.01409912109375,1.92901611328125,-5.824432373046875,-1.428070068359375,1.0,1.0,2.0,1.0,1.0,85.0,,325,LHS,Female,Yes,Right
20,20,2022-11-02 18:40:32.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHS,Female,Yes,Right
