TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
10:53.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.688.644,23.087.912,7.921.612,0,53.468.866,0.466369629,-0.23638916,0.873901367,300.567.626.953.125,-4.777.679.443.359.370,-0.358886719,1,2,4,1,2,95,,201,RHC,Female,No,Right
10:53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.485.348,49.721.613,828.022,4.319.414,67.772.894,0.471740723,-0.23840332,0.869750977,33.795.166.015.625,-4.702.911.376.953.120,-0.687866211,1,2,2,4,4,95,,201,RHC,Female,No,Right
10:54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.300.366,8.981.319,822.381,10.955.677,79.175.824,0.473022461,-0.237182617,0.870849609,3.132.781.982.421.870,-605.621.337.890.625,0.628051758,1,2,2,1,4,95,,201,RHC,Female,No,Right
10:56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:56.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.652.014,69.868.134,76.516.486,90.538.464,78.934.064,0.477966309,-0.242858887,0.866638184,26.617.431.640.625,-51.141.357.421.875,-0.747680664,1,2,2,1,2,95,,201,RHC,Female,No,Right
10:56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.822.711,9.231.135,87.556.775,14.130.769,83.084.247,0.479064941,-0.23449707,0.865112305,4.209.442.138.671.870,-31.402.587.890.625,1.114.044.189.453.120,1,2,2,2,2,95,,201,RHC,Female,No,Right
10:57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.941.394,7.671.795,78.490.845,10.798.535,8.550.183,0.480529785,-0.245178223,0.867492676,3.701.019.287.109.370,-4.104.766.845.703.120,-0.456085205,1,2,4,2,4,95,,201,RHC,Female,No,Right
10:58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
10:59.5,0.5125396,0,0,0,0.6446267,0,0,0,0.46342757,0,0,0,10.965.008,0,0,0,10.001.075,0,0,0,12.885.714,54.959.705,76.032.965,11.483.517,9.327.839,0.485290527,-0.238586426,0.862548828,3.252.410.888.671.870,-478.515.625,0.538330078,1,1,2,2,4,95,,201,RHC,Female,No,Right
11:00.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:00.5,0.4506149,0,0,0,0.67132366,0,0,0,0.45236674,0,0,0,10.742.462,0,0,0,10.462.365,0,0,0,13.304.762,10.165.934,8.215.751,7.736.264,7.740.293,0.479980469,-0.2421875,0.871398926,34.991.455.078.125,-46.356.201.171.875,-0.702819824,1,1,2,1,4,95,,201,RHC,Female,No,Right
11:00.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:00.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:01.5,0.4506149,0,0,0,0.67132366,0,0,0,0.45236674,0,0,0,10.742.462,0,0,0,10.462.365,0,0,0,13.240.293,10.270.696,89.490.845,16.177.656,8.534.066,0.477233887,-0.242797852,0.863098145,2.684.173.583.984.370,-37.384.033.203.125,-0.194396973,1,2,4,1,4,95,,201,RHC,Female,No,Right
11:02.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:02.5,0.4506149,0,0,0,0.67132366,0,0,0,0.45236674,0,0,0,10.742.462,0,0,0,10.462.365,0,0,0,1.071.392,6.241.392,12.253.114,12.994.506,7.333.333,0.500366211,-0.237182617,0.858337402,506.927.490.234.375,-4.957.122.802.734.370,0.777587891,1,2,4,1,4,95,,201,RHC,Female,No,Right
11:03.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:03.6,0.7460585,0,0,0,0.7887641,0,0,0,0.4612801,0,0,0,0.7343673,0,0,0,0.67248094,0,0,0,12.297.435,6.072.161,85.139.197,14.195.238,7.341.392,0.494140625,-0.250671387,0.86505127,2.504.730.224.609.370,-474.029.541.015.625,-0.725250244,1,1,4,4,4,95,,201,RHC,Female,No,Right
11:03.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:04.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
