TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,,Participant,Test,Gender,English,Dominance
39:42.1,0.70829344,1.1130546,0,0,0.55680555,0.71060497,0,0,0.92948896,0.6589081,0,0,0.9490296,0.4184694,0,0,1.1654985,0.32473347,0,0,793.36993,829.6337,207.9121,0,804.65204,-0.029846191,0.027038574,1.020996094,4.007568359,-1.996307373,0.777587891,1,2,1,2,4,60,,,210,RHC,Female,No,Right
39:42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,210,RHC,Female,No,Right
39:43.1,0.70829344,0.61045915,0,0,0.55680555,0.28000587,0,0,0.92948896,0.34577322,0,0,0.9490296,0.30257842,0,0,1.1654985,-0.026403217,0,0,705.9341,817.9487,1041.1721,1621.7949,882.8205,-0.017333984,0.046325684,1.013916016,2.601928711,-2.459869385,-0.328979492,1,2,1,4,2,60,,,210,RHC,Female,No,Right
39:43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,210,RHC,Female,No,Right
39:43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,210,RHC,Female,No,Right
39:44.1,0.70829344,0.5986257,0,0,0.55680555,0.119212754,0,0,0.92948896,0.24809575,0,0,0.9490296,0.28777337,0,0,1.1654985,-0.012632183,0,0,666.4469,819.9634,875.9707,1622.1978,807.47253,-0.004943848,0.039001465,1.015319824,4.71786499,-3.072967529,0.807495117,1,2,1,1,2,60,,,210,RHC,Female,No,Right
39:44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,210,RHC,Female,No,Right
39:45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,210,RHC,Female,No,Right
39:45.1,0.70829344,0.42976144,0,0,0.55680555,0.022705927,0,0,0.92948896,0.4127687,0,0,0.9490296,0.30390504,0,0,1.1654985,-0.23767215,0,0,877.98535,811.50183,882.4176,1621.7949,725.6777,-0.004394531,0.070678711,1.020812988,3.529052734,-3.932800293,-0.800018311,1,2,1,1,2,60,,,210,RHC,Female,No,Right
39:46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,210,RHC,Female,No,Right
