,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 18:17:35.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,323,RHS,Female,No,Right
1,1,2022-11-02 18:17:36.613,0.683079823541914,-0.3821352807898798,0.9998500283893854,0.5657973373155532,0.9175956457292294,-0.1073952688136116,0.5121600298521999,0.3225286225500587,0.5319339057717101,0.276079627750649,0.90495693985906,0.7639065005376499,0.1585354256996667,-0.0546867509139563,0.6422967602227488,0.773039850378935,0.0082587627278464,-0.3147988924457266,0.0286337796574862,0.8697507172178929,805.4578754578755,781.2820512820513,759.5238095238095,799.8168498168499,921.0989010989013,0.356934,-0.361511,0.884277,4.000092,-5.914154,-5.607605,1.0,1.0,1.0,2.0,1.0,95.0,,323,RHS,Female,No,Right
2,2,2022-11-02 18:17:37.614,0.8022174888844886,-0.3115923232613551,0.9998500283893854,0.1915772786881073,0.880551684847238,0.0895935246349892,0.5121600298521999,0.2513439682408384,0.7737985226208622,0.1553494053187255,0.90495693985906,0.4497816983747137,0.2905940764124241,-0.116036197754411,0.6422967602227488,0.7838147824884175,-0.0442478628821586,-0.3177914923621334,0.0286337796574862,0.8247958230684062,798.6080586080586,781.6849816849817,586.2637362637363,792.5641025641025,697.8754578754579,0.402893,-0.344299,0.863831,3.53653,-6.923523,0.127106,1.0,1.0,1.0,2.0,1.0,95.0,,323,RHS,Female,No,Right
3,3,2022-11-02 18:17:38.612,1.025517508042881,-0.0471006718707757,0.9998500283893854,0.2394440946422905,0.9840841048373152,0.1505709935490504,0.5121600298521999,0.3364767670737351,0.8680557398625328,0.2141040027765464,0.90495693985906,0.5762438394945474,0.3398134518877569,-0.0318103493652519,0.6422967602227488,0.648325147186197,0.0928763277412354,-0.3933892432781981,0.0286337796574862,0.8699842910113401,809.0842490842491,776.4468864468864,746.2271062271062,826.4102564102565,899.7435897435897,0.434631,-0.344788,0.860779,4.770203,-6.975861,1.308441,1.0,1.0,1.0,2.0,1.0,95.0,,323,RHS,Female,No,Right
4,4,2022-11-02 18:17:39.613,1.012073012371416,-0.0948166641973602,0.9998500283893854,0.519083034032737,0.9191074083630648,-0.2246038347301669,0.5121600298521999,0.5174114768523093,0.7415476187827145,0.257783539238336,0.90495693985906,0.5037593223911674,0.3683698591251308,0.1156436763062363,0.6422967602227488,0.6670938857698567,0.1112203337469728,-0.4158235270021713,0.0286337796574862,0.7102256784769749,809.0842490842491,783.6996336996338,624.5421245421246,815.1282051282052,737.3626373626374,0.434204,-0.360107,0.847961,4.07486,-8.299255,0.545807,1.0,1.0,1.0,2.0,1.0,95.0,,323,RHS,Female,No,Right
5,5,2022-11-02 18:17:40.612,1.142959722505829,-0.4651672372306673,0.9998500283893854,0.5213599506795812,0.9013171679896091,-0.2090379944936915,0.5121600298521999,-0.0328056462419929,0.7628577468357839,0.2184775227456478,0.90495693985906,0.6570343345297825,0.3767640662179587,-0.0768724599361045,0.6422967602227488,1.056018947439604,0.0932599648251293,-0.3643193722507408,0.0286337796574862,0.8559006767295726,818.7545787545788,784.9084249084249,715.6043956043957,803.040293040293,847.3626373626374,0.454407,-0.346863,0.847168,3.880463,-6.594543,1.143951,1.0,1.0,1.0,2.0,1.0,95.0,,323,RHS,Female,No,Right
6,6,2022-11-02 18:17:41.618,1.122500862946076,-0.5406039953003113,0.9998500283893854,0.5148454503927419,0.8302197811415151,-0.1549382670653538,0.5121600298521999,0.4038616212189072,0.7230073407656987,0.2596677050995333,0.90495693985906,0.7378487180152326,0.3353939453973402,-0.1198294985634738,0.6422967602227488,0.796771092659789,0.1294328300461807,-0.4443234093940052,0.0286337796574862,0.6955588772058943,815.5311355311355,786.9230769230769,880.0,812.7106227106227,727.2893772893773,0.450745,-0.350891,0.835144,3.633728,-4.934692,0.919647,1.0,1.0,1.0,2.0,1.0,95.0,,323,RHS,Female,No,Right
7,7,2022-11-02 18:17:42.626,1.090953682626222,-0.3486912090519612,0.9998500283893854,0.6179699473399322,1.067212731390075,-0.0005542299990383,0.5121600298521999,0.5298339006860714,0.7586310102738573,0.3228641600790559,0.90495693985906,0.7298962344794269,0.3672655258304522,-0.0759286477330526,0.6422967602227488,0.8848994163045185,0.1198822422297112,-0.5506967296493261,0.0286337796574862,0.7395629970125908,811.5018315018315,782.4908424908425,494.3956043956044,824.3956043956044,952.124542124542,0.499695,-0.343994,0.825073,3.170166,-4.590759,4.187012,1.0,1.0,1.0,2.0,1.0,95.0,,323,RHS,Female,No,Right
8,8,2022-11-02 18:17:43.612,0.8163029736279046,-0.0378880500868844,0.9998500283893854,0.67021592758793,0.7100973802578097,-0.0886524789590373,0.5121600298521999,0.4743630361054205,0.6726040698248921,0.3155024578954184,0.90495693985906,0.6771614108981895,0.4405704869326193,-0.0073500934897902,0.6422967602227488,0.9628440612721526,0.006122103992243,-0.4780730819489633,0.0286337796574862,0.8940184583729887,803.8461538461539,794.5787545787546,861.4652014652015,822.7838827838829,687.3992673992674,0.47821,-0.362549,0.819519,3.237457,-5.607605,0.284119,1.0,1.0,1.0,2.0,1.0,95.0,,323,RHS,Female,No,Right
9,9,2022-11-02 18:17:44.613,1.008958678596031,0.0689826520020288,0.9998500283893854,0.168004018564877,0.9360454806645164,-0.0801605967572384,0.5121600298521999,0.2933808543822756,0.6677097044778021,0.3238632938163791,0.90495693985906,0.5981337852465526,0.4376079913364593,0.0071971184710664,0.6422967602227488,0.8447299368661485,0.1104769505592738,-0.441162808825475,0.0286337796574862,0.7618901642032937,792.967032967033,788.9377289377289,589.8901098901099,776.0439560439561,954.1391941391942,0.510437,-0.368408,0.809204,3.192596,-5.144043,-2.661743,1.0,1.0,1.0,2.0,1.0,95.0,,323,RHS,Female,No,Right
