,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 18:37:25.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,325,LHC,Female,Yes,Right
1,1,2022-11-02 18:37:25.084,0.0,0.0,0.0,1.1603398,0.0,0.0,0.0,1.1079043,0.0,0.0,0.0,1.0407978,0.0,0.0,0.0,1.1336389,0.0,0.0,0.0,0.6511462,716.0073,627.3626,529.0476,792.5641,662.8205,0.17291259765625,-0.033203125,0.9984130859375,2.609405517578125,-5.562744140625,1.114044189453125,1.0,4.0,4.0,2.0,2.0,85.0,,325,LHC,Female,Yes,Right
2,2,2022-11-02 18:37:26.101,0.0,0.0,0.0,1.1603398,0.0,0.0,0.0,1.1079043,0.0,0.0,0.0,1.0407978,0.0,0.0,0.0,1.1336389,0.0,0.0,0.0,0.6511462,62.05128,728.0952,591.50183,770.80585,685.78754,0.19232177734375,-0.03515625,0.997802734375,3.177642822265625,-5.226287841796875,0.560760498046875,1.0,4.0,4.0,2.0,2.0,85.0,,325,LHC,Female,Yes,Right
3,3,2022-11-02 18:37:27.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHC,Female,Yes,Right
4,4,2022-11-02 18:37:27.118,0.0,0.0,0.0,1.1603398,0.0,0.0,0.0,1.1079043,0.0,0.0,0.0,1.0407978,0.0,0.0,0.0,1.1336389,0.0,0.0,0.0,0.6511462,0.0,663.6264,599.5604,753.47986,722.0513,0.19403076171875,-0.04010009765625,1.00335693359375,3.3795166015625,-5.301055908203125,1.12152099609375,1.0,4.0,4.0,2.0,2.0,85.0,,325,LHC,Female,Yes,Right
5,5,2022-11-02 18:37:27.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHC,Female,Yes,Right
6,6,2022-11-02 18:37:27.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHC,Female,Yes,Right
7,7,2022-11-02 18:37:28.124,0.0,0.0,0.0,1.1603398,0.0,0.0,0.0,1.1079043,0.0,0.0,0.0,1.0407978,0.0,0.0,0.0,1.1336389,0.0,0.0,0.0,0.6511462,13.699634,298.57144,470.2198,785.7143,786.1172,0.1888427734375,-0.054443359375,0.9957275390625,3.1402587890625,-4.3365478515625,0.88226318359375,1.0,4.0,4.0,2.0,2.0,85.0,,325,LHC,Female,Yes,Right
8,8,2022-11-02 18:37:28.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHC,Female,Yes,Right
9,9,2022-11-02 18:37:29.144,0.0,0.0,0.0,1.4184437,0.0,0.0,0.0,1.5589596,0.0,0.0,0.0,1.3321764,0.0,0.0,0.0,1.1961384,0.0,0.0,0.0,0.5785468,641.06226,781.685,687.3993,832.8571,778.46155,0.196533203125,-0.04901123046875,0.9949951171875,2.61688232421875,-3.895416259765625,-0.605621337890625,1.0,4.0,4.0,2.0,1.0,85.0,,325,LHC,Female,Yes,Right
10,10,2022-11-02 18:37:29.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHC,Female,Yes,Right
11,11,2022-11-02 18:37:30.163,0.0,0.0,0.0,1.3142719,0.0,0.0,0.0,1.603478,0.0,0.0,0.0,1.5008092,0.0,0.0,0.0,1.1314247,0.0,0.0,0.0,0.6588288,157.54579,329.19415,616.08057,783.2967,912.6374,0.19647216796875,-0.04998779296875,0.99432373046875,2.669219970703125,-4.306640625,-1.024322509765625,1.0,4.0,4.0,2.0,1.0,85.0,,325,LHC,Female,Yes,Right
12,12,2022-11-02 18:37:30.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHC,Female,Yes,Right
13,13,2022-11-02 18:37:30.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHC,Female,Yes,Right
14,14,2022-11-02 18:37:31.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,325,LHC,Female,Yes,Right
