,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 18:19:35.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,323,LHS,Female,No,Right
1,1,2022-11-02 18:19:35.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,323,LHS,Female,No,Right
2,2,2022-11-02 18:19:36.670,0.7119179075775951,1.27968014880263,1.992911913558434,0.1787803456390956,0.4392187980291767,0.8273557571937882,0.3739387647574723,0.3529826426569422,0.407129551573073,0.8443918722856331,0.508215775691936,0.2872129139219202,0.7105710771104624,0.1899487001429869,0.1047608249228261,0.4239354390328192,0.2565226345231216,-0.2356701083543966,-0.7254737478307755,0.0540877433888323,826.4102564102565,807.4725274725275,559.6703296703297,804.2490842490843,736.5567765567765,0.367065,-0.012512,0.956482,-1.749573,-1.300964,-0.927124,1.0,2.0,1.0,2.0,2.0,85.0,,323,LHS,Female,No,Right
3,3,2022-11-02 18:19:36.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,323,LHS,Female,No,Right
4,4,2022-11-02 18:19:37.667,0.7119179075775951,1.191061004138925,1.992911913558434,0.1787803456390956,0.4392187980291767,0.9651030348819014,0.3739387647574723,0.3529826426569422,0.407129551573073,0.8303387825750418,0.508215775691936,0.2872129139219202,0.7105710771104624,0.1048189968693111,0.1047608249228261,0.4239354390328192,0.2565226345231216,-0.3106868901732762,-0.7254737478307755,0.0540877433888323,835.6776556776557,799.4139194139194,452.8937728937729,822.3809523809524,632.1978021978022,0.320496,-0.043274,0.956055,-4.545898,-10.946045,-9.203949,1.0,2.0,1.0,1.0,2.0,85.0,,323,LHS,Female,No,Right
5,5,2022-11-02 18:19:38.667,0.7119179075775951,0.1687290268236022,1.992911913558434,0.1787803456390956,0.4392187980291767,0.3638470181796925,0.3739387647574723,0.3529826426569422,0.407129551573073,0.0941874694324841,0.508215775691936,0.2872129139219202,0.7105710771104624,-0.0203274928488391,0.1047608249228261,0.4239354390328192,0.2565226345231216,-0.1937824454703428,-0.7254737478307755,0.0540877433888323,826.007326007326,811.5018315018315,631.7948717948718,803.8461538461539,660.8058608058608,0.378967,-0.031677,0.930054,-0.246735,-6.878662,-10.078735,1.0,2.0,1.0,2.0,2.0,85.0,,323,LHS,Female,No,Right
6,6,2022-11-02 18:19:39.667,0.5019214074411276,0.5507826684062426,1.992911913558434,0.5533700478808381,0.7522194640329747,0.3996940311176588,0.3739387647574723,0.2906565169175099,0.4636348582005496,-0.0139501755782477,0.508215775691936,0.3377768622735552,0.6313809333193717,-0.0556285853616819,0.1047608249228261,0.4496420860103912,0.0944179453873514,-0.3250733986736152,-0.7254737478307755,0.4794674114629648,794.1758241758242,792.5641025641025,664.0293040293041,805.8608058608058,823.5897435897436,0.383972,-0.052368,0.947571,3.738403,-0.426178,6.901093,1.0,1.0,1.0,2.0,1.0,85.0,,323,LHS,Female,No,Right
7,7,2022-11-02 18:19:40.667,0.7100388681951961,0.9162036621634652,1.992911913558434,0.6671455018317384,0.7631424040652733,0.5962331701244877,0.3739387647574723,0.3344490390796068,0.5823606909987207,0.3250816936160898,0.508215775691936,0.502616179479589,0.5767627268545616,-0.0068106180519318,0.1047608249228261,0.5512416227943372,0.2399314365226682,-0.5038740929646919,-0.7254737478307755,0.3608382572776077,786.1172161172161,776.0439560439561,638.2417582417582,786.9230769230769,810.2930402930403,0.35553,0.005859,0.947266,12.47879,-1.61499,8.620758,1.0,1.0,1.0,2.0,1.0,85.0,,323,LHS,Female,No,Right
8,8,2022-11-02 18:19:41.667,0.7310193574118717,0.9230894370486162,1.992911913558434,0.6775382422933183,0.5643449622253912,0.5081952733224508,0.3739387647574723,0.3503059203460931,0.5282356190047958,0.3250816936160898,0.508215775691936,0.494254795877762,0.5739705259241165,0.0583897490858224,0.1047608249228261,0.6697141895143014,0.2547855698234011,-0.6094224450688578,-0.7254737478307755,0.3717919748564659,869.5238095238095,849.3772893772895,670.8791208791209,860.6593406593407,649.92673992674,0.420593,0.028564,0.930603,2.788849,-12.66571,4.179535,1.0,1.0,1.0,2.0,1.0,85.0,,323,LHS,Female,No,Right
9,9,2022-11-02 18:19:42.668,0.7310193574118717,0.9230894370486162,1.992911913558434,0.6775382422933183,0.5643449622253912,0.5081952733224508,0.3739387647574723,0.3503059203460931,0.5282356190047958,0.3250816936160898,0.508215775691936,0.494254795877762,0.5739705259241165,0.0583897490858224,0.1047608249228261,0.6697141895143014,0.2547855698234011,-0.6094224450688578,-0.7254737478307755,0.3717919748564659,796.1904761904763,800.2197802197802,604.7985347985348,813.1135531135532,568.1318681318681,0.467102,-0.015015,0.900818,4.336548,-8.127289,3.476715,1.0,1.0,1.0,2.0,1.0,85.0,,323,LHS,Female,No,Right
