,Unnamed: 0,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominance
0,0,2022-11-02 18:12:53.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89,322,RHS,Male,Yes,Left
1,1,2022-11-02 18:12:54.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,RHS,Male,Yes,Left
2,2,2022-11-02 18:12:54.814,0.458633725629036,0.0,0.0,0.4529366190073218,0.4289469827155243,0.0,0.0,0.7005223497906394,1.181582891015379,0.0,0.0,1.074585807900279,1.189761483967648,0.0,0.0,0.956956590353553,1.001318988093461,0.0,0.0,0.4733017032578059,722.0512820512821,670.0732600732601,643.4798534798535,748.6446886446887,753.8827838827839,0.634705,0.35791,0.873657,-1.188812,-5.196381,1.330872,1.0,1.0,4.0,2.0,1.0,100.0,,322,RHS,Male,Yes,Left
3,3,2022-11-02 18:12:55.815,0.458633725629036,0.0,0.0,0.5418444411996062,0.4289469827155243,0.0,0.0,0.7549344935833496,1.181582891015379,0.0,0.0,1.053788930112611,1.189761483967648,0.0,0.0,0.9963020908613038,1.001318988093461,0.0,0.0,0.4681504620895038,749.8534798534798,1621.794871794872,523.4065934065934,772.8205128205128,765.5677655677656,0.576111,0.330078,0.80481,4.538422,2.265472,-0.904694,1.0,1.0,4.0,2.0,1.0,100.0,,322,RHS,Male,Yes,Left
4,4,2022-11-02 18:12:56.813,0.458633725629036,0.0,0.0,0.5418444411996062,0.4289469827155243,0.0,0.0,0.7549344935833496,1.181582891015379,0.0,0.0,1.053788930112611,1.189761483967648,0.0,0.0,0.9963020908613038,1.001318988093461,0.0,0.0,0.4681504620895038,785.7142857142858,582.6373626373627,651.941391941392,786.5201465201466,790.5494505494506,0.680664,0.286499,0.827515,3.992615,3.461761,2.4823,1.0,1.0,4.0,2.0,1.0,100.0,,322,RHS,Male,Yes,Left
5,5,2022-11-02 18:12:57.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,RHS,Male,Yes,Left
6,6,2022-11-02 18:12:57.813,0.458633725629036,0.0,0.0,0.5418444411996062,0.4289469827155243,0.0,0.0,0.7549344935833496,1.181582891015379,0.0,0.0,1.053788930112611,1.189761483967648,0.0,0.0,0.9963020908613038,1.001318988093461,0.0,0.0,0.4681504620895038,774.8351648351648,620.1098901098901,644.2857142857143,765.9706959706959,722.4542124542124,0.621948,0.291748,0.803955,-7.319794,-14.676971,11.095581,1.0,2.0,2.0,2.0,2.0,100.0,,322,RHS,Male,Yes,Left
7,7,2022-11-02 18:12:57.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,RHS,Male,Yes,Left
8,8,2022-11-02 18:12:58.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,RHS,Male,Yes,Left
9,9,2022-11-02 18:12:58.813,0.458633725629036,0.0,0.0,0.5418444411996062,0.4289469827155243,0.0,0.0,0.7549344935833496,1.181582891015379,0.0,0.0,1.053788930112611,1.189761483967648,0.0,0.0,0.9963020908613038,1.001318988093461,0.0,0.0,0.4681504620895038,759.1208791208792,436.7765567765568,550.8058608058608,791.7582417582418,689.0109890109891,0.872192,-0.103027,0.57312,-3.55896,-9.069366,7.222595,1.0,2.0,4.0,2.0,2.0,100.0,,322,RHS,Male,Yes,Left
10,10,2022-11-02 18:12:59.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,322,RHS,Male,Yes,Left
11,11,2022-11-02 18:12:59.813,0.458633725629036,0.0,0.0,0.5418444411996062,0.4289469827155243,0.0,0.0,0.7549344935833496,1.181582891015379,0.0,0.0,1.053788930112611,1.189761483967648,0.0,0.0,0.9963020908613038,1.001318988093461,0.0,0.0,0.4681504620895038,812.3076923076924,714.7985347985348,621.3186813186813,813.1135531135532,794.5787545787546,0.82843,-0.099121,0.535278,4.493561,-2.497253,2.250519,1.0,2.0,4.0,2.0,2.0,100.0,,322,RHS,Male,Yes,Left
