,Test,English,Gender,Participant,Dominance,Delta_mean,Delta_std,Delta_ptp,Delta_var,Delta_minim,Delta_maxim,Delta_argminim,Delta_argmaxim,Delta_rms,Delta_skewness,Delta_kurtosis,Theta_mean,Theta_std,Theta_ptp,Theta_var,Theta_minim,Theta_maxim,Theta_argminim,Theta_argmaxim,Theta_rms,Theta_skewness,Theta_kurtosis,Alpha_mean,Alpha_std,Alpha_ptp,Alpha_var,Alpha_minim,Alpha_maxim,Alpha_argminim,Alpha_argmaxim,Alpha_rms,Alpha_skewness,Alpha_kurtosis,Beta_mean,Beta_std,Beta_ptp,Beta_var,Beta_minim,Beta_maxim,Beta_argminim,Beta_argmaxim,Beta_rms,Beta_skewness,Beta_kurtosis,Gamma_mean,Gamma_std,Gamma_ptp,Gamma_var,Gamma_minim,Gamma_maxim,Gamma_argminim,Gamma_argmaxim,Gamma_rms,Gamma_skewness,Gamma_kurtosis
0,LHC,Yes,Female,101.0,Dominant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
1,LHC,Yes,Male,102.0,Dominant,0.5264422630769231,0.29453758296266824,1.3363308,0.08675238777749067,0.0,1.3363308,22.0,46.0,0.6032361429250099,0.1773673962178411,0.6646773699461348,0.4271227110461539,0.244757317038704,0.9769953,0.05990614424398465,0.0,0.9769953,22.0,44.0,0.4922803617202304,-0.14331603179358635,-0.3210559796443304,0.5685555676923078,0.27498075993672605,1.107895,0.07561441833537935,0.0,1.107895,22.0,17.0,0.6315614395205755,-0.6342041473618132,0.018416363746348807,0.5676476429230769,0.3357947285931679,1.169145,0.11275809975095927,0.0,1.169145,22.0,56.0,0.6595316112720332,-0.05877829762194521,-0.8664893823743163,0.4091304966461538,0.4242520574308075,1.6095424500000002,0.17998980823427319,-0.32552445,1.284018,46.0,50.0,0.5893874544984833,0.18154788883506628,-1.023259400891511
2,RHS,Yes,Male,103.0,NonDominant,0.3405790675779817,0.41366521125137673,1.7751445,0.17111890699964613,-0.5506726,1.2244719,56.0,5.0,0.5358292715706501,0.13066316571226913,-0.622304559393057,0.19016968533944953,0.38004857028048233,1.74038954,0.14443691577223872,-0.53147334,1.2089162,60.0,13.0,0.42497226379417274,0.4165549154502471,-0.2852133517618505,0.45665613077064215,0.3350891953451815,1.3795891,0.1122847688370812,-0.1407699,1.2388192,51.0,92.0,0.5664093842862202,0.15574792873382717,-0.9879904997196189,0.5486613488899083,0.42068126490451574,1.47271674,0.17697272664166336,-0.23454434,1.2381724,41.0,19.0,0.691376888829354,-0.49159414906694254,-1.4596313964416339,0.43910070983486243,0.46349994671555517,1.63293256,0.21483220060532246,-0.61494106,1.0179915,35.0,108.0,0.6384681933994852,-0.6622325391185925,-1.0642683377909166
3,RHS,Yes,Male,139.0,Dominant,0.9335173543396227,0.5130167897467062,1.89995093,0.26318622656201607,-0.09127423,1.8086767,47.0,6.0,1.0651952297186018,-0.2929087282266798,-0.7000106986097876,0.7672783794339622,0.49276014571647425,1.6497318,0.24281256120652095,0.0,1.6497318,30.0,6.0,0.911881940139911,0.07307253913750131,-1.092822893190049,0.7585660513207546,0.33864391853428616,1.3313061,0.11467970356025625,0.0,1.3313061,30.0,6.0,0.830723875771377,-0.6089249964814555,-0.29613277288402706,0.7485600064150942,0.37125195506894265,1.3597773,0.1378280141425122,0.0,1.3597773,30.0,35.0,0.8355657349046084,-0.4695514667561543,-0.7653535777398495,0.554933789226415,0.39716417095082135,1.218179675,0.15773937868705326,-0.067039475,1.1511402,19.0,41.0,0.6824154812958456,-0.17487708387323606,-1.2847454085762509
4,LHC,Yes,Male,106.0,NonDominant,0.5671890358859649,0.5041232062218777,2.2655069599999997,0.25414020705142576,-0.57080376,1.6947032,50.0,66.0,0.7588436001447705,0.1541804577965709,-0.43760858721596163,0.39712567745614036,0.40774375462515844,1.85016123,0.1662549694358214,-0.41965443,1.4305068,73.0,113.0,0.5691781558798791,0.2685883743230619,-0.31002341556807655,0.6185461217368422,0.361706569186028,1.4736896499999999,0.13083164219232685,-0.16485815,1.3088315,70.0,85.0,0.7165409596861962,-0.4045439531710364,-0.9285737964263263,0.7105977163684211,0.48453419845720647,1.50405056,0.23477338947456752,-0.10473326,1.3993173,52.0,27.0,0.8600712202966581,-0.3834343298264167,-1.5818039191763673,0.4264448881578947,0.630337690538185,1.7623498400000002,0.3973256041130127,-0.56853414,1.1938157,47.0,91.0,0.7610393201070574,-0.3101821188426911,-1.6893387273152907
5,LHC,Yes,Male,107.0,NonDominant,0.36863044181999993,0.2259311548772371,0.984091198,0.051044886744162105,-0.024203798,0.9598874,15.0,97.0,0.43235782562661046,0.00623281615762629,-0.6592955950279169,0.29644992373,0.19262173422641682,0.99202473,0.03710313249639236,-0.22666493,0.7653598,87.0,17.0,0.35353315230104687,-0.056521449545175434,-0.3156507173644236,0.5465694111999999,0.21208892347564096,0.9068538,0.04498171146105629,0.0,0.9068538,46.0,96.0,0.5862762426711242,-1.1930040155829402,1.1996282073645963,0.7708613339999998,0.25199870527566753,1.0914273,0.06350334746061276,0.0,1.0914273,46.0,19.0,0.8110058838978128,-2.097834192490914,4.210150120077685,0.7080387467000001,0.28085803483747734,1.2660261,0.07888123573276964,0.0,1.2660261,46.0,32.0,0.761708673024849,-0.8114501057040382,1.0407977264262493
6,LHC,Yes,Male,108.0,NonDominant,0.5287562706011562,0.3660035466456363,1.9303935599999997,0.13395859615718445,-0.61757886,1.3128147,4.0,48.0,0.6430721498068683,-0.7771269145372638,0.9820168035775314,0.3548939086878613,0.3016385490489617,1.26714886,0.09098581427236287,-0.3132341,0.95391476,33.0,84.0,0.4657633526761319,-0.13200344628184282,-0.7734062672534958,0.6012216931156068,0.3047813803104381,1.4210115,0.09289168978393592,-0.2598454,1.1611661,44.0,126.0,0.6740617286693652,-0.40069615061554853,-0.7510406299785206,0.7111073826184972,0.5208633034286991,1.594042444,0.2712985808586571,-0.027711544,1.5663309,65.0,89.0,0.8814603170155687,0.008785528491649604,-1.7427832825614684,0.46751367435260116,0.6436214030090611,1.89662935,0.4142485104113523,-0.36422515,1.5324042,24.0,89.0,0.7954983005123408,0.030070203580089692,-1.7796769587341976
7,LHC,Yes,Male,109.0,NonDominant,0.5665475376285715,0.35783934833963027,1.321343465,0.12804899922013124,-0.040740065,1.2806034,20.0,30.0,0.6700933603708731,0.26646643973057665,-0.9212981547856063,0.28582178845714284,0.22270601192400774,1.10423897,0.04959796774709628,-0.16511787,0.9391211,22.0,44.0,0.3623424657750399,0.3629429976084506,-0.1820605992358546,0.5180442794285715,0.2223417013155714,1.007239,0.04943583214390277,0.0,1.007239,50.0,80.0,0.5637425898338448,-0.046582481316963575,-0.18633109832726058,0.6980472164761904,0.19607055965304648,0.9667821,0.03844366436265886,0.0,0.9667821,50.0,18.0,0.7250610876283573,-1.5576278547356064,3.737764455620436,0.5810227012380952,0.22865705062682953,1.1501224,0.052284046801360486,0.0,1.1501224,50.0,18.0,0.6243968498922566,-0.2043058954586323,0.41839839839435466
8,LHC,Yes,Male,110.0,NonDominant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
9,LHC,Yes,Male,111.0,NonDominant,0.18218818843786982,0.335858413866698,1.63450266,0.11280087416505422,-0.55053306,1.0839696,74.0,138.0,0.38209084020861717,0.39770954185831897,-0.37273072404616503,0.09398257179881656,0.31181898341459097,2.21147887,0.09723107841770896,-0.71277267,1.4987062,62.0,138.0,0.32567438066207893,0.6839638197688458,2.440610438051298,0.5189320358520709,0.35810618782693066,1.59623091,0.12824004175993695,-0.22222981,1.3740011,72.0,38.0,0.6305001979329682,-0.03132518353490655,-0.8953104210848348,0.37380302421301775,0.4050425344778343,1.39440728,0.16405945473622757,-0.33582368,1.0585836,109.0,138.0,0.5511698065451567,-0.2878235254885956,-1.4317638707119311,0.1407614496627219,0.4667043587365514,1.5937446400000002,0.21781295846369567,-0.74978244,0.8439622,56.0,152.0,0.48746973667587473,-0.3086171205686449,-1.360147743290081
10,LHC,Yes,Male,112.0,NonDominant,0.7106358957959185,0.2759643211130115,1.4733808240000001,0.07615630652736534,-0.003453724,1.4699271,50.0,189.0,0.762338299523927,0.10405898696327676,-0.08426793666578059,0.42785189884183666,0.31261681241307615,1.6932869300000002,0.09772927140331245,-0.18336023,1.5099267,91.0,171.0,0.5298929313982946,0.43452703679506777,0.6092560500313038,0.7859586810204082,0.3307417024114558,1.5076682,0.10939007371402798,-0.0736864,1.4339818,87.0,125.0,0.8527139743110627,-0.38795216979539365,-0.258261372939264,0.7840401310204085,0.21476090222386593,1.0660072399999998,0.0461222451240089,0.14645436,1.2124616,83.0,168.0,0.8129213812998817,-1.139997994672745,0.9794872638492476,0.4331345871479591,0.26323419730166536,1.13230587,0.06929224262905209,-0.33133692,0.80096895,93.0,72.0,0.5068508786742755,-1.4604246826502556,1.1768310801566697
11,LHC,Yes,Female,113.0,NonDominant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
12,LHC,No,Male,114.0,NonDominant,0.4091105767063492,0.35830490069542686,1.5177819000000001,0.1283824018623597,-0.3240529,1.193729,66.0,83.0,0.5438325715101673,0.06736230548388221,-0.4631278787601567,0.3038287523809523,0.3685785950593808,1.56706467,0.13585018073594698,-0.35640287,1.2106618,71.0,83.0,0.4776631569519603,0.8390661748501623,0.30707295692399805,0.5237960181031746,0.29562366528970874,1.2734216900000002,0.08739335147932174,-0.06974059,1.2036811,48.0,123.0,0.6014612373711733,0.3029641492692037,-0.385418060722055,0.5014720873571428,0.2608155263747097,1.134876183,0.06802473879811691,-0.043471783,1.0914044,62.0,122.0,0.565242419848729,-0.2416593354293292,-0.5010719684560305,0.31640328039682547,0.33575513700617543,1.368946,0.11273151202603564,-0.3321258,1.0368202,78.0,32.0,0.46134861858675563,-0.09760963033298359,-0.9283207797742121
13,LHC,Yes,Male,115.0,NonDominant,0.558156707551282,0.3754562329322448,1.4848682000000002,0.14096738284767205,-0.3265378,1.1583304,22.0,50.0,0.6726858799113888,-0.15228526772616316,-1.1033730545798637,0.4356918554230769,0.35408772949769063,1.3870276499999998,0.12537812018082972,-0.12609985,1.2609278,42.0,50.0,0.5614316637515496,0.4534589810611844,-0.4921317279437525,0.6643596520512821,0.2922061987551107,1.2376657,0.08538446259091129,0.0,1.2376657,74.0,71.0,0.7257811032705466,-0.3943299114984364,-0.2889263445318151,0.801968126025641,0.3341359855689175,1.444318,0.11164685685211186,0.0,1.444318,74.0,72.0,0.8687921109294159,-0.08361395164109664,-0.11748140890561976,0.5318833041025641,0.3278477534734373,1.2198675,0.10748414945757971,0.0,1.2198675,74.0,70.0,0.6248071691655277,0.4993581073457016,-1.068268052094656
